sessionId,exitEventType
SESS0000126,카테고리_이동
SESS0000127,검색
SESS0000128,카테고리_이동
SESS0000129,구매완료
SESS0000130,상품_상세조회
SESS0000131,상품_상세조회
SESS0000132,구매완료
SESS0000133,찜하기
SESS0000134,카테고리_이동
SESS0000135,상품_상세조회
SESS0000136,상품_상세조회
SESS0000137,상품_상세조회
SESS0000138,상품_상세조회
SESS0000139,검색
SESS0000140,검색
SESS0000141,찜하기
SESS0000142,상품_상세조회
SESS0000143,구매완료
SESS0000144,상품_상세조회
SESS0000145,상품_상세조회
SESS0000146,검색
SESS0000147,상품_상세조회
SESS0000148,상품_상세조회
SESS0000149,상품_상세조회
SESS0000150,카테고리_이동
SESS0000151,상품_상세조회
SESS0000152,상품_상세조회
SESS0000153,상품_상세조회
SESS0000154,상품_상세조회
SESS0000155,상품_상세조회
SESS0000156,장바구니_이탈
SESS0000157,상품_상세조회
SESS0000158,검색
SESS0000159,카테고리_이동
SESS0000160,상품_상세조회
SESS0000161,찜하기
SESS0000162,구매완료
SESS0000163,상품_상세조회
SESS0000164,상품_상세조회
SESS0000165,구매완료
SESS0000166,상품_상세조회
SESS0000167,상품_상세조회
SESS0000168,장바구니_이탈
SESS0000169,상품_상세조회
SESS0000170,상품_상세조회
SESS0000171,상품_상세조회
SESS0000172,검색
SESS0000173,검색
SESS0000174,검색
SESS0000175,구매완료
SESS0000176,상품_상세조회
SESS0000177,카테고리_이동
SESS0000178,상품_상세조회
SESS0000179,상품_상세조회
SESS0000180,상품_상세조회
SESS0000181,찜하기
SESS0000182,카테고리_이동
SESS0000183,상품_상세조회
SESS0000184,결제페이지_진입
SESS0000185,구매완료
SESS0000186,장바구니_이탈
SESS0000187,상품_상세조회
SESS0000188,상품_상세조회
SESS0000189,상품_상세조회
SESS0000190,상품_상세조회
SESS0000191,상품_상세조회
SESS0000192,찜하기
SESS0000193,찜하기
SESS0000194,결제페이지_진입
SESS0000195,상품_상세조회
SESS0000196,결제페이지_진입
SESS0000197,카테고리_이동
SESS0000198,상품_상세조회
SESS0000199,상품_상세조회
SESS0000200,상품_상세조회
SESS0000201,상품_상세조회
SESS0000202,상품_상세조회
SESS0000203,상품_상세조회
SESS0000204,상품_상세조회
SESS0000205,상품_상세조회
SESS0000206,상품_상세조회
SESS0000207,결제페이지_진입
SESS0000208,카테고리_이동
SESS0000209,구매완료
SESS0000210,상품_상세조회
SESS0000211,구매완료
SESS0000212,카테고리_이동
SESS0000213,구매완료
SESS0000214,상품_상세조회
SESS0000215,상품_상세조회
SESS0000216,찜하기
SESS0000217,찜하기
SESS0000218,상품_상세조회
SESS0000219,장바구니_이탈
SESS0000220,찜하기
SESS0000221,결제페이지_진입
SESS0000222,카테고리_이동
SESS0000223,구매완료
SESS0000224,카테고리_이동
SESS0000225,결제페이지_진입
SESS0000226,찜하기
SESS0000227,카테고리_이동
SESS0000228,상품_상세조회
SESS0000229,구매완료
SESS0000230,상품_상세조회
SESS0000231,구매완료
SESS0000232,상품_상세조회
SESS0000233,구매완료
SESS0000234,상품_상세조회
SESS0000235,상품_상세조회
SESS0000236,구매완료
SESS0000237,상품_상세조회
SESS0000238,상품_상세조회
SESS0000239,장바구니_이탈
SESS0000240,상품_상세조회
SESS0000241,상품_상세조회
SESS0000242,상품_상세조회
SESS0000243,장바구니_이탈
SESS0000244,상품_상세조회
SESS0000245,장바구니_이탈
SESS0000246,상품_상세조회
SESS0000247,상품_상세조회
SESS0000248,카테고리_이동
SESS0000249,구매완료
SESS0000250,상품_상세조회
SESS0000251,카테고리_이동
SESS0000252,구매완료
SESS0000253,구매완료
SESS0000254,구매완료
SESS0000255,구매완료
SESS0000256,상품_상세조회
SESS0000257,상품_상세조회
SESS0000258,상품_상세조회
SESS0000259,구매완료
SESS0000260,상품_상세조회
SESS0000261,상품_상세조회
SESS0000262,구매완료
SESS0000263,상품_상세조회
SESS0000264,검색
SESS0000265,결제페이지_진입
SESS0000266,상품_상세조회
SESS0000267,카테고리_이동
SESS0000268,상품_상세조회
SESS0000269,상품_상세조회
SESS0000270,결제페이지_진입
SESS0000271,상품_상세조회
SESS0000272,장바구니_이탈
SESS0000273,상품_상세조회
SESS0000274,상품_상세조회
SESS0000275,상품_상세조회
SESS0000276,상품_상세조회
SESS0000277,카테고리_이동
SESS0000278,상품_상세조회
SESS0000279,상품_상세조회
SESS0000280,찜하기
SESS0000281,상품_상세조회
SESS0000282,구매완료
SESS0000283,구매완료
SESS0000284,카테고리_이동
SESS0000285,상품_상세조회
SESS0000286,카테고리_이동
SESS0000287,구매완료
SESS0000288,결제페이지_진입
SESS0000289,카테고리_이동
SESS0000290,찜하기
SESS0000291,검색
SESS0000292,구매완료
SESS0000293,상품_상세조회
SESS0000294,상품_상세조회
SESS0000295,상품_상세조회
SESS0000296,찜하기
SESS0000297,구매완료
SESS0000298,장바구니_이탈
SESS0000299,찜하기
SESS0000300,구매완료
SESS0000301,카테고리_이동
SESS0000302,상품_상세조회
SESS0000303,상품_상세조회
SESS0000304,상품_상세조회
SESS0000305,카테고리_이동
SESS0000306,상품_상세조회
SESS0000307,구매완료
SESS0000308,상품_상세조회
SESS0000309,검색
SESS0000310,찜하기
SESS0000311,상품_상세조회
SESS0000312,구매완료
SESS0000313,구매완료
SESS0000314,카테고리_이동
SESS0000315,카테고리_이동
SESS0000316,카테고리_이동
SESS0000317,구매완료
SESS0000318,검색
SESS0000319,상품_상세조회
SESS0000320,구매완료
SESS0000321,검색
SESS0000322,구매완료
SESS0000323,상품_상세조회
SESS0000324,검색
SESS0000325,상품_상세조회
SESS0000326,찜하기
SESS0000327,구매완료
SESS0000328,찜하기
SESS0000329,상품_상세조회
SESS0000330,상품_상세조회
SESS0000331,구매완료
SESS0000332,상품_상세조회
SESS0000333,결제페이지_진입
SESS0000334,구매완료
SESS0000335,상품_상세조회
SESS0000336,결제페이지_진입
SESS0000337,찜하기
SESS0000338,상품_상세조회
SESS0000339,상품_상세조회
SESS0000340,상품_상세조회
SESS0000341,상품_상세조회
SESS0000342,상품_상세조회
SESS0000343,상품_상세조회
SESS0000344,카테고리_이동
SESS0000345,상품_상세조회
SESS0000346,상품_상세조회
SESS0000347,상품_상세조회
SESS0000348,상품_상세조회
SESS0000349,카테고리_이동
SESS0000350,상품_상세조회
SESS0000351,상품_상세조회
SESS0000352,찜하기
SESS0000353,상품_상세조회
SESS0000354,검색
SESS0000355,찜하기
SESS0000356,찜하기
SESS0000357,상품_상세조회
SESS0000358,장바구니_이탈
SESS0000359,상품_상세조회
SESS0000360,구매완료
SESS0000361,구매완료
SESS0000362,상품_상세조회
SESS0000363,구매완료
SESS0000364,상품_상세조회
SESS0000365,검색
SESS0000366,구매완료
SESS0000367,결제페이지_진입
SESS0000368,상품_상세조회
SESS0000369,구매완료
SESS0000370,카테고리_이동
SESS0000371,상품_상세조회
SESS0000372,찜하기
SESS0000373,구매완료
SESS0000374,상품_상세조회
SESS0000375,찜하기
SESS0000376,상품_상세조회
SESS0000377,상품_상세조회
SESS0000378,상품_상세조회
SESS0000379,카테고리_이동
SESS0000380,결제페이지_진입
SESS0000381,검색
SESS0000382,구매완료
SESS0000383,상품_상세조회
SESS0000384,상품_상세조회
SESS0000385,찜하기
SESS0000386,상품_상세조회
SESS0000387,검색
SESS0000388,검색
SESS0000389,상품_상세조회
SESS0000390,상품_상세조회
SESS0000391,상품_상세조회
SESS0000392,구매완료
SESS0000393,구매완료
SESS0000394,검색
SESS0000395,카테고리_이동
SESS0000396,구매완료
SESS0000397,상품_상세조회
SESS0000398,결제페이지_진입
SESS0000399,구매완료
SESS0000400,상품_상세조회
SESS0000401,상품_상세조회
SESS0000402,구매완료
SESS0000403,상품_상세조회
SESS0000404,구매완료
SESS0000405,검색
SESS0000406,상품_상세조회
SESS0000407,상품_상세조회
SESS0000408,구매완료
SESS0000409,구매완료
SESS0000410,구매완료
SESS0000411,상품_상세조회
SESS0000412,결제페이지_진입
SESS0000413,찜하기
SESS0000414,카테고리_이동
SESS0000415,장바구니_이탈
SESS0000416,찜하기
SESS0000417,결제페이지_진입
SESS0000418,상품_상세조회
SESS0000419,구매완료
SESS0000420,상품_상세조회
SESS0000421,구매완료
SESS0000422,상품_상세조회
SESS0000423,검색
SESS0000424,상품_상세조회
SESS0000425,결제페이지_진입
SESS0000426,상품_상세조회
SESS0000427,카테고리_이동
SESS0000428,찜하기
SESS0000429,구매완료
SESS0000430,상품_상세조회
SESS0000431,구매완료
SESS0000432,결제페이지_진입
SESS0000433,구매완료
SESS0000434,상품_상세조회
SESS0000435,상품_상세조회
SESS0000436,상품_상세조회
SESS0000437,검색
SESS0000438,상품_상세조회
SESS0000439,상품_상세조회
SESS0000440,카테고리_이동
SESS0000441,상품_상세조회
SESS0000442,카테고리_이동
SESS0000443,결제페이지_진입
SESS0000444,상품_상세조회
SESS0000445,검색
SESS0000446,검색
SESS0000447,상품_상세조회
SESS0000448,상품_상세조회
SESS0000449,결제페이지_진입
SESS0000450,구매완료
SESS0000451,검색
SESS0000452,상품_상세조회
SESS0000453,상품_상세조회
SESS0000454,상품_상세조회
SESS0000455,찜하기
SESS0000456,카테고리_이동
SESS0000457,상품_상세조회
SESS0000458,장바구니_이탈
SESS0000459,상품_상세조회
SESS0000460,상품_상세조회
SESS0000461,구매완료
SESS0000462,카테고리_이동
SESS0000463,검색
SESS0000464,장바구니_이탈
SESS0000465,상품_상세조회
SESS0000466,상품_상세조회
SESS0000467,검색
SESS0000468,장바구니_이탈
SESS0000469,상품_상세조회
SESS0000470,카테고리_이동
SESS0000471,결제페이지_진입
SESS0000472,카테고리_이동
SESS0000473,상품_상세조회
SESS0000474,카테고리_이동
SESS0000475,검색
SESS0000476,상품_상세조회
SESS0000477,카테고리_이동
SESS0000478,상품_상세조회
SESS0000479,상품_상세조회
SESS0000480,찜하기
SESS0000481,상품_상세조회
SESS0000482,상품_상세조회
SESS0000483,상품_상세조회
SESS0000484,결제페이지_진입
SESS0000485,찜하기
SESS0000486,구매완료
SESS0000487,검색
SESS0000488,상품_상세조회
SESS0000489,상품_상세조회
SESS0000490,상품_상세조회
SESS0000491,상품_상세조회
SESS0000492,장바구니_이탈
SESS0000493,상품_상세조회
SESS0000494,구매완료
SESS0000495,검색
SESS0000496,상품_상세조회
SESS0000497,장바구니_이탈
SESS0000498,찜하기
SESS0000499,장바구니_이탈
SESS0000500,상품_상세조회
SESS0000501,검색
SESS0000502,구매완료
SESS0000503,상품_상세조회
SESS0000504,상품_상세조회
SESS0000505,상품_상세조회
SESS0000506,구매완료
SESS0000507,검색
SESS0000508,구매완료
SESS0000509,상품_상세조회
SESS0000510,결제페이지_진입
SESS0000511,상품_상세조회
SESS0000512,상품_상세조회
SESS0000513,상품_상세조회
SESS0000514,상품_상세조회
SESS0000515,구매완료
SESS0000516,장바구니_이탈
SESS0000517,상품_상세조회
SESS0000518,상품_상세조회
SESS0000519,찜하기
SESS0000520,상품_상세조회
SESS0000521,상품_상세조회
SESS0000522,카테고리_이동
SESS0000523,상품_상세조회
SESS0000524,찜하기
SESS0000525,상품_상세조회
SESS0000526,상품_상세조회
SESS0000527,상품_상세조회
SESS0000528,구매완료
SESS0000529,구매완료
SESS0000530,구매완료
SESS0000531,상품_상세조회
SESS0000532,상품_상세조회
SESS0000533,상품_상세조회
SESS0000534,상품_상세조회
SESS0000535,상품_상세조회
SESS0000536,상품_상세조회
SESS0000537,장바구니_이탈
SESS0000538,상품_상세조회
SESS0000539,카테고리_이동
SESS0000540,상품_상세조회
SESS0000541,구매완료
SESS0000542,검색
SESS0000543,결제페이지_진입
SESS0000544,상품_상세조회
SESS0000545,상품_상세조회
SESS0000546,구매완료
SESS0000547,상품_상세조회
SESS0000548,검색
SESS0000549,상품_상세조회
SESS0000550,상품_상세조회
SESS0000551,상품_상세조회
SESS0000552,구매완료
SESS0000553,상품_상세조회
SESS0000554,결제페이지_진입
SESS0000555,찜하기
SESS0000556,검색
SESS0000557,상품_상세조회
SESS0000558,상품_상세조회
SESS0000559,검색
SESS0000560,상품_상세조회
SESS0000561,검색
SESS0000562,검색
SESS0000563,상품_상세조회
SESS0000564,카테고리_이동
SESS0000565,상품_상세조회
SESS0000566,카테고리_이동
SESS0000567,결제페이지_진입
SESS0000568,상품_상세조회
SESS0000569,상품_상세조회
SESS0000570,상품_상세조회
SESS0000571,검색
SESS0000572,카테고리_이동
SESS0000573,상품_상세조회
SESS0000574,상품_상세조회
SESS0000575,상품_상세조회
SESS0000576,상품_상세조회
SESS0000577,상품_상세조회
SESS0000578,찜하기
SESS0000579,구매완료
SESS0000580,찜하기
SESS0000581,상품_상세조회
SESS0000582,결제페이지_진입
SESS0000583,카테고리_이동
SESS0000584,상품_상세조회
SESS0000585,상품_상세조회
SESS0000586,구매완료
SESS0000587,상품_상세조회
SESS0000588,결제페이지_진입
SESS0000589,구매완료
SESS0000590,구매완료
SESS0000591,구매완료
SESS0000592,상품_상세조회
SESS0000593,찜하기
SESS0000594,구매완료
SESS0000595,상품_상세조회
SESS0000596,구매완료
SESS0000597,카테고리_이동
SESS0000598,상품_상세조회
SESS0000599,장바구니_이탈
SESS0000600,상품_상세조회
SESS0000601,구매완료
SESS0000602,검색
SESS0000603,상품_상세조회
SESS0000604,상품_상세조회
SESS0000605,상품_상세조회
SESS0000606,상품_상세조회
SESS0000607,상품_상세조회
SESS0000608,상품_상세조회
SESS0000609,결제페이지_진입
SESS0000610,카테고리_이동
SESS0000611,상품_상세조회
SESS0000612,상품_상세조회
SESS0000613,상품_상세조회
SESS0000614,찜하기
SESS0000615,상품_상세조회
SESS0000616,결제페이지_진입
SESS0000617,상품_상세조회
SESS0000618,구매완료
SESS0000619,구매완료
SESS0000620,상품_상세조회
SESS0000621,결제페이지_진입
SESS0000622,카테고리_이동
SESS0000623,구매완료
SESS0000624,구매완료
SESS0000625,상품_상세조회
SESS0000626,상품_상세조회
SESS0000627,상품_상세조회
SESS0000628,상품_상세조회
SESS0000629,찜하기
SESS0000630,장바구니_이탈
SESS0000631,검색
SESS0000632,카테고리_이동
SESS0000633,상품_상세조회
SESS0000634,상품_상세조회
SESS0000635,상품_상세조회
SESS0000636,상품_상세조회
SESS0000637,찜하기
SESS0000638,찜하기
SESS0000639,구매완료
SESS0000640,찜하기
SESS0000641,상품_상세조회
SESS0000642,카테고리_이동
SESS0000643,상품_상세조회
SESS0000644,상품_상세조회
SESS0000645,찜하기
SESS0000646,상품_상세조회
SESS0000647,상품_상세조회
SESS0000648,검색
SESS0000649,카테고리_이동
SESS0000650,검색
SESS0000651,상품_상세조회
SESS0000652,카테고리_이동
SESS0000653,장바구니_이탈
SESS0000654,찜하기
SESS0000655,상품_상세조회
SESS0000656,카테고리_이동
SESS0000657,검색
SESS0000658,상품_상세조회
SESS0000659,상품_상세조회
SESS0000660,상품_상세조회
SESS0000661,상품_상세조회
SESS0000662,찜하기
SESS0000663,구매완료
SESS0000664,결제페이지_진입
SESS0000665,구매완료
SESS0000666,상품_상세조회
SESS0000667,구매완료
SESS0000668,카테고리_이동
SESS0000669,상품_상세조회
SESS0000670,상품_상세조회
SESS0000671,구매완료
SESS0000672,상품_상세조회
SESS0000673,검색
SESS0000674,찜하기
SESS0000675,구매완료
SESS0000676,구매완료
SESS0000677,상품_상세조회
SESS0000678,상품_상세조회
SESS0000679,찜하기
SESS0000680,상품_상세조회
SESS0000681,상품_상세조회
SESS0000682,상품_상세조회
SESS0000683,결제페이지_진입
SESS0000684,검색
SESS0000685,상품_상세조회
SESS0000686,상품_상세조회
SESS0000687,상품_상세조회
SESS0000688,구매완료
SESS0000689,상품_상세조회
SESS0000690,상품_상세조회
SESS0000691,구매완료
SESS0000692,검색
SESS0000693,구매완료
SESS0000694,장바구니_이탈
SESS0000695,구매완료
SESS0000696,구매완료
SESS0000697,상품_상세조회
SESS0000698,구매완료
SESS0000699,구매완료
SESS0000700,상품_상세조회
SESS0000701,상품_상세조회
SESS0000702,상품_상세조회
SESS0000703,검색
SESS0000704,상품_상세조회
SESS0000705,결제페이지_진입
SESS0000706,구매완료
SESS0000707,상품_상세조회
SESS0000708,상품_상세조회
SESS0000709,구매완료
SESS0000710,상품_상세조회
SESS0000711,상품_상세조회
SESS0000712,상품_상세조회
SESS0000713,구매완료
SESS0000714,상품_상세조회
SESS0000715,구매완료
SESS0000716,상품_상세조회
SESS0000717,찜하기
SESS0000718,상품_상세조회
SESS0000719,상품_상세조회
SESS0000720,구매완료
SESS0000721,구매완료
SESS0000722,카테고리_이동
SESS0000723,상품_상세조회
SESS0000724,찜하기
SESS0000725,상품_상세조회
SESS0000726,구매완료
SESS0000727,상품_상세조회
SESS0000728,상품_상세조회
SESS0000729,결제페이지_진입
SESS0000730,상품_상세조회
SESS0000731,찜하기
SESS0000732,상품_상세조회
SESS0000733,장바구니_이탈
SESS0000734,상품_상세조회
SESS0000735,카테고리_이동
SESS0000736,상품_상세조회
SESS0000737,상품_상세조회
SESS0000738,구매완료
SESS0000739,구매완료
SESS0000740,장바구니_이탈
SESS0000741,구매완료
SESS0000742,구매완료
SESS0000743,상품_상세조회
SESS0000744,결제페이지_진입
SESS0000745,찜하기
SESS0000746,상품_상세조회
SESS0000747,상품_상세조회
SESS0000748,상품_상세조회
SESS0000749,상품_상세조회
SESS0000750,검색
SESS0000751,상품_상세조회
SESS0000752,상품_상세조회
SESS0000753,카테고리_이동
SESS0000754,찜하기
SESS0000755,구매완료
SESS0000756,카테고리_이동
SESS0000757,구매완료
SESS0000758,구매완료
SESS0000759,상품_상세조회
SESS0000760,상품_상세조회
SESS0000761,상품_상세조회
SESS0000762,구매완료
SESS0000763,결제페이지_진입
SESS0000764,장바구니_이탈
SESS0000765,상품_상세조회
SESS0000766,구매완료
SESS0000767,카테고리_이동
SESS0000768,상품_상세조회
SESS0000769,카테고리_이동
SESS0000770,상품_상세조회
SESS0000771,상품_상세조회
SESS0000772,장바구니_이탈
SESS0000773,상품_상세조회
SESS0000774,상품_상세조회
SESS0000775,상품_상세조회
SESS0000776,구매완료
SESS0000777,상품_상세조회
SESS0000778,상품_상세조회
SESS0000779,상품_상세조회
SESS0000780,구매완료
SESS0000781,상품_상세조회
SESS0000782,찜하기
SESS0000783,상품_상세조회
SESS0000784,구매완료
SESS0000785,상품_상세조회
SESS0000786,상품_상세조회
SESS0000787,상품_상세조회
SESS0000788,상품_상세조회
SESS0000789,찜하기
SESS0000790,결제페이지_진입
SESS0000791,상품_상세조회
SESS0000792,결제페이지_진입
SESS0000793,구매완료
SESS0000794,카테고리_이동
SESS0000795,상품_상세조회
SESS0000796,상품_상세조회
SESS0000797,구매완료
SESS0000798,구매완료
SESS0000799,결제페이지_진입
SESS0000800,구매완료
SESS0000801,상품_상세조회
SESS0000802,상품_상세조회
SESS0000803,상품_상세조회
SESS0000804,상품_상세조회
SESS0000805,결제페이지_진입
SESS0000806,결제페이지_진입
SESS0000807,상품_상세조회
SESS0000808,상품_상세조회
SESS0000809,상품_상세조회
SESS0000810,상품_상세조회
SESS0000811,구매완료
SESS0000812,검색
SESS0000813,상품_상세조회
SESS0000814,구매완료
SESS0000815,상품_상세조회
SESS0000816,구매완료
SESS0000817,상품_상세조회
SESS0000818,상품_상세조회
SESS0000819,상품_상세조회
SESS0000820,상품_상세조회
SESS0000821,검색
SESS0000822,찜하기
SESS0000823,상품_상세조회
SESS0000824,상품_상세조회
SESS0000825,상품_상세조회
SESS0000826,상품_상세조회
SESS0000827,검색
SESS0000828,상품_상세조회
SESS0000829,카테고리_이동
SESS0000830,구매완료
SESS0000831,구매완료
SESS0000832,상품_상세조회
SESS0000833,결제페이지_진입
SESS0000834,구매완료
SESS0000835,카테고리_이동
SESS0000836,찜하기
SESS0000837,검색
SESS0000838,상품_상세조회
SESS0000839,찜하기
SESS0000840,상품_상세조회
SESS0000841,상품_상세조회
SESS0000842,상품_상세조회
SESS0000843,상품_상세조회
SESS0000844,구매완료
SESS0000845,상품_상세조회
SESS0000846,구매완료
SESS0000847,상품_상세조회
SESS0000848,상품_상세조회
SESS0000849,상품_상세조회
SESS0000850,결제페이지_진입
SESS0000851,상품_상세조회
SESS0000852,상품_상세조회
SESS0000853,구매완료
SESS0000854,검색
SESS0000855,상품_상세조회
SESS0000856,상품_상세조회
SESS0000857,찜하기
SESS0000858,장바구니_이탈
SESS0000859,상품_상세조회
SESS0000860,구매완료
SESS0000861,찜하기
SESS0000862,구매완료
SESS0000863,상품_상세조회
SESS0000864,구매완료
SESS0000865,카테고리_이동
SESS0000866,구매완료
SESS0000867,구매완료
SESS0000868,구매완료
SESS0000869,상품_상세조회
SESS0000870,결제페이지_진입
SESS0000871,상품_상세조회
SESS0000872,상품_상세조회
SESS0000873,검색
SESS0000874,구매완료
SESS0000875,상품_상세조회
SESS0000876,구매완료
SESS0000877,상품_상세조회
SESS0000878,상품_상세조회
SESS0000879,상품_상세조회
SESS0000880,상품_상세조회
SESS0000881,장바구니_이탈
SESS0000882,카테고리_이동
SESS0000883,구매완료
SESS0000884,상품_상세조회
SESS0000885,상품_상세조회
SESS0000886,찜하기
SESS0000887,상품_상세조회
SESS0000888,결제페이지_진입
SESS0000889,검색
SESS0000890,찜하기
SESS0000891,상품_상세조회
SESS0000892,장바구니_이탈
SESS0000893,상품_상세조회
SESS0000894,구매완료
SESS0000895,상품_상세조회
SESS0000896,검색
SESS0000897,검색
SESS0000898,찜하기
SESS0000899,상품_상세조회
SESS0000900,상품_상세조회
SESS0000901,상품_상세조회
SESS0000902,구매완료
SESS0000903,상품_상세조회
SESS0000904,상품_상세조회
SESS0000905,구매완료
SESS0000906,상품_상세조회
SESS0000907,검색
SESS0000908,상품_상세조회
SESS0000909,검색
SESS0000910,구매완료
SESS0000911,장바구니_이탈
SESS0000912,찜하기
SESS0000913,상품_상세조회
SESS0000914,카테고리_이동
SESS0000915,상품_상세조회
SESS0000916,구매완료
SESS0000917,상품_상세조회
SESS0000918,찜하기
SESS0000919,상품_상세조회
SESS0000920,장바구니_이탈
SESS0000921,구매완료
SESS0000922,상품_상세조회
SESS0000923,상품_상세조회
SESS0000924,상품_상세조회
SESS0000925,상품_상세조회
SESS0000926,상품_상세조회
SESS0000927,장바구니_이탈
SESS0000928,찜하기
SESS0000929,상품_상세조회
SESS0000930,상품_상세조회
SESS0000931,카테고리_이동
SESS0000932,결제페이지_진입
SESS0000933,상품_상세조회
SESS0000934,구매완료
SESS0000935,구매완료
SESS0000936,카테고리_이동
SESS0000937,장바구니_이탈
SESS0000938,찜하기
SESS0000939,카테고리_이동
SESS0000940,결제페이지_진입
SESS0000941,상품_상세조회
SESS0000942,상품_상세조회
SESS0000943,상품_상세조회
SESS0000944,찜하기
SESS0000945,상품_상세조회
SESS0000946,상품_상세조회
SESS0000947,상품_상세조회
SESS0000948,상품_상세조회
SESS0000949,구매완료
SESS0000950,상품_상세조회
SESS0000951,상품_상세조회
SESS0000952,카테고리_이동
SESS0000953,상품_상세조회
SESS0000954,구매완료
SESS0000955,검색
SESS0000956,결제페이지_진입
SESS0000957,상품_상세조회
SESS0000958,상품_상세조회
SESS0000959,구매완료
SESS0000960,상품_상세조회
SESS0000961,카테고리_이동
SESS0000962,찜하기
SESS0000963,장바구니_이탈
SESS0000964,카테고리_이동
SESS0000965,상품_상세조회
SESS0000966,찜하기
SESS0000967,상품_상세조회
SESS0000968,상품_상세조회
SESS0000969,결제페이지_진입
SESS0000970,찜하기
SESS0000971,찜하기
SESS0000972,상품_상세조회
SESS0000973,상품_상세조회
SESS0000974,상품_상세조회
SESS0000975,상품_상세조회
SESS0000976,상품_상세조회
SESS0000977,검색
SESS0000978,상품_상세조회
SESS0000979,결제페이지_진입
SESS0000980,찜하기
SESS0000981,상품_상세조회
SESS0000982,상품_상세조회
SESS0000983,카테고리_이동
SESS0000984,상품_상세조회
SESS0000985,상품_상세조회
SESS0000986,구매완료
SESS0000987,상품_상세조회
SESS0000988,카테고리_이동
SESS0000989,상품_상세조회
SESS0000990,결제페이지_진입
SESS0000991,구매완료
SESS0000992,구매완료
SESS0000993,결제페이지_진입
SESS0000994,상품_상세조회
SESS0000995,상품_상세조회
SESS0000996,구매완료
SESS0000997,구매완료
SESS0000998,상품_상세조회
SESS0000999,상품_상세조회
SESS0001000,구매완료
SESS0001001,상품_상세조회
SESS0001002,카테고리_이동
