상품ID_A,상품ID_B,동시조회_횟수,카테고리_A,카테고리_B
P00014,P00015,20,원피스,원피스
P00001,P00008,20,원피스,원피스
P00114,P00120,20,가방,가방
P00002,P00003,20,원피스,원피스
P00076,P00086,20,청바지,청바지
P00005,P00006,20,원피스,원피스
P00002,P00008,19,원피스,원피스
P00063,P00074,19,니트,니트
P00003,P00014,19,원피스,원피스
P00010,P00012,19,원피스,원피스
P00106,P00111,19,가방,가방
P00002,P00007,19,원피스,원피스
P00003,P00004,19,원피스,원피스
P00115,P00119,19,가방,가방
P00004,P00007,19,원피스,원피스
P00007,P00012,19,원피스,원피스
P00106,P00114,19,가방,가방
P00106,P00118,19,가방,가방
P00004,P00014,19,원피스,원피스
P00002,P00010,19,원피스,원피스
P00013,P00015,19,원피스,원피스
P00128,P00131,19,액세서리,액세서리
P00156,P00165,19,셔츠,셔츠
P00077,P00078,19,청바지,청바지
P00070,P00074,19,니트,니트
P00078,P00079,19,청바지,청바지
P00071,P00075,19,니트,니트
P00002,P00014,19,원피스,원피스
P00129,P00131,19,액세서리,액세서리
P00065,P00075,19,니트,니트
P00111,P00118,19,가방,가방
P00009,P00015,19,원피스,원피스
P00106,P00120,18,가방,가방
P00065,P00074,18,니트,니트
P00157,P00165,18,셔츠,셔츠
P00064,P00065,18,니트,니트
P00071,P00073,18,니트,니트
P00076,P00078,18,청바지,청바지
P00087,P00088,18,청바지,청바지
P00111,P00119,18,가방,가방
P00004,P00012,18,원피스,원피스
P00140,P00145,18,스커트,스커트
P00009,P00014,18,원피스,원피스
P00005,P00007,18,원피스,원피스
P00007,P00015,18,원피스,원피스
P00122,P00131,18,액세서리,액세서리
P00076,P00079,18,청바지,청바지
P00005,P00013,18,원피스,원피스
P00076,P00084,18,청바지,청바지
P00152,P00162,18,셔츠,셔츠
P00008,P00010,18,원피스,원피스
P00138,P00146,18,스커트,스커트
P00140,P00147,18,스커트,스커트
P00107,P00110,18,가방,가방
P00121,P00123,18,액세서리,액세서리
P00157,P00160,18,셔츠,셔츠
P00078,P00090,18,청바지,청바지
P00155,P00161,17,셔츠,셔츠
P00156,P00160,17,셔츠,셔츠
P00114,P00117,17,가방,가방
P00126,P00131,17,액세서리,액세서리
P00067,P00071,17,니트,니트
P00117,P00120,17,가방,가방
P00010,P00011,17,원피스,원피스
P00001,P00010,17,원피스,원피스
P00007,P00011,17,원피스,원피스
P00009,P00010,17,원피스,원피스
P00137,P00147,17,스커트,스커트
P00081,P00090,17,청바지,청바지
P00063,P00069,17,니트,니트
P00061,P00063,17,니트,니트
P00064,P00071,17,니트,니트
P00111,P00116,17,가방,가방
P00113,P00120,17,가방,가방
P00109,P00111,17,가방,가방
P00106,P00108,17,가방,가방
P00004,P00009,17,원피스,원피스
P00063,P00068,17,니트,니트
P00061,P00070,17,니트,니트
P00152,P00156,17,셔츠,셔츠
P00069,P00070,17,니트,니트
P00011,P00012,17,원피스,원피스
P00003,P00008,17,원피스,원피스
P00071,P00072,17,니트,니트
P00010,P00015,17,원피스,원피스
P00002,P00009,17,원피스,원피스
P00077,P00086,17,청바지,청바지
P00013,P00014,17,원피스,원피스
P00109,P00115,17,가방,가방
P00012,P00015,17,원피스,원피스
P00010,P00013,17,원피스,원피스
P00085,P00087,17,청바지,청바지
P00107,P00111,17,가방,가방
P00007,P00014,17,원피스,원피스
P00001,P00007,17,원피스,원피스
P00067,P00070,17,니트,니트
P00062,P00064,16,니트,니트
P00157,P00161,16,셔츠,셔츠
P00141,P00150,16,스커트,스커트
P00136,P00147,16,스커트,스커트
P00086,P00087,16,청바지,청바지
P00067,P00075,16,니트,니트
P00106,P00115,16,가방,가방
P00076,P00090,16,청바지,청바지
P00106,P00107,16,가방,가방
P00003,P00006,16,원피스,원피스
P00136,P00149,16,스커트,스커트
P00138,P00141,16,스커트,스커트
P00007,P00013,16,원피스,원피스
P00160,P00162,16,셔츠,셔츠
P00004,P00011,16,원피스,원피스
P00134,P00135,16,액세서리,액세서리
P00110,P00115,16,가방,가방
P00065,P00068,16,니트,니트
P00002,P00004,16,원피스,원피스
P00070,P00073,16,니트,니트
P00084,P00086,16,청바지,청바지
P00006,P00007,16,원피스,원피스
P00078,P00084,16,청바지,청바지
P00122,P00123,16,액세서리,액세서리
P00079,P00086,16,청바지,청바지
P00128,P00133,16,액세서리,액세서리
P00118,P00120,16,가방,가방
P00101,P00104,16,신발,신발
P00069,P00072,16,니트,니트
P00106,P00117,16,가방,가방
P00142,P00150,16,스커트,스커트
P00085,P00086,16,청바지,청바지
P00112,P00116,16,가방,가방
P00078,P00087,16,청바지,청바지
P00145,P00149,16,스커트,스커트
P00117,P00118,16,가방,가방
P00005,P00012,16,원피스,원피스
P00069,P00071,16,니트,니트
P00078,P00083,16,청바지,청바지
P00080,P00088,16,청바지,청바지
P00063,P00064,16,니트,니트
P00061,P00064,16,니트,니트
P00080,P00085,16,청바지,청바지
P00113,P00116,16,가방,가방
P00080,P00090,16,청바지,청바지
P00081,P00086,16,청바지,청바지
P00065,P00066,16,니트,니트
P00109,P00117,16,가방,가방
P00111,P00120,16,가방,가방
P00145,P00147,16,스커트,스커트
P00061,P00068,16,니트,니트
P00144,P00146,15,스커트,스커트
P00064,P00069,15,니트,니트
P00073,P00075,15,니트,니트
P00159,P00164,15,셔츠,셔츠
P00106,P00110,15,가방,가방
P00140,P00148,15,스커트,스커트
P00076,P00083,15,청바지,청바지
P00153,P00155,15,셔츠,셔츠
P00097,P00101,15,신발,신발
P00083,P00086,15,청바지,청바지
P00068,P00071,15,니트,니트
P00061,P00066,15,니트,니트
P00005,P00014,15,원피스,원피스
P00069,P00075,15,니트,니트
P00154,P00157,15,셔츠,셔츠
P00111,P00113,15,가방,가방
P00001,P00005,15,원피스,원피스
P00062,P00065,15,니트,니트
P00156,P00162,15,셔츠,셔츠
P00111,P00114,15,가방,가방
P00076,P00077,15,청바지,청바지
P00088,P00090,15,청바지,청바지
P00077,P00085,15,청바지,청바지
P00063,P00072,15,니트,니트
P00061,P00069,15,니트,니트
P00123,P00131,15,액세서리,액세서리
P00077,P00079,15,청바지,청바지
P00088,P00089,15,청바지,청바지
P00006,P00010,15,원피스,원피스
P00083,P00089,15,청바지,청바지
P00079,P00081,15,청바지,청바지
P00068,P00075,15,니트,니트
P00143,P00150,15,스커트,스커트
P00011,P00015,15,원피스,원피스
P00153,P00157,15,셔츠,셔츠
P00136,P00150,15,스커트,스커트
P00067,P00068,15,니트,니트
P00100,P00103,15,신발,신발
P00077,P00090,15,청바지,청바지
P00011,P00013,15,원피스,원피스
P00107,P00115,15,가방,가방
P00078,P00081,15,청바지,청바지
P00001,P00009,15,원피스,원피스
P00106,P00116,15,가방,가방
P00159,P00160,15,셔츠,셔츠
P00157,P00163,15,셔츠,셔츠
P00080,P00086,15,청바지,청바지
P00119,P00120,14,가방,가방
P00107,P00112,14,가방,가방
P00067,P00074,14,니트,니트
P00079,P00090,14,청바지,청바지
P00065,P00069,14,니트,니트
P00122,P00129,14,액세서리,액세서리
P00138,P00150,14,스커트,스커트
P00113,P00118,14,가방,가방
P00106,P00119,14,가방,가방
P00157,P00164,14,셔츠,셔츠
P00100,P00105,14,신발,신발
P00140,P00141,14,스커트,스커트
P00140,P00150,14,스커트,스커트
P00107,P00113,14,가방,가방
P00101,P00102,14,신발,신발
P00072,P00074,14,니트,니트
P00005,P00010,14,원피스,원피스
P00141,P00144,14,스커트,스커트
P00006,P00012,14,원피스,원피스
P00041,P00044,14,코트,코트
P00112,P00120,14,가방,가방
P00138,P00142,14,스커트,스커트
P00009,P00012,14,원피스,원피스
P00123,P00130,14,액세서리,액세서리
P00163,P00165,14,셔츠,셔츠
P00125,P00130,14,액세서리,액세서리
P00131,P00135,14,액세서리,액세서리
P00062,P00071,14,니트,니트
P00147,P00148,14,스커트,스커트
P00115,P00116,14,가방,가방
P00068,P00070,14,니트,니트
P00112,P00119,14,가방,가방
P00079,P00089,14,청바지,청바지
P00080,P00081,14,청바지,청바지
P00154,P00162,14,셔츠,셔츠
P00143,P00147,14,스커트,스커트
P00004,P00010,14,원피스,원피스
P00010,P00014,14,원피스,원피스
P00110,P00113,14,가방,가방
P00157,P00162,14,셔츠,셔츠
P00109,P00120,14,가방,가방
P00113,P00117,14,가방,가방
P00067,P00073,14,니트,니트
P00061,P00073,14,니트,니트
P00077,P00089,14,청바지,청바지
P00109,P00112,14,가방,가방
P00149,P00150,14,스커트,스커트
P00141,P00142,14,스커트,스커트
P00137,P00150,14,스커트,스커트
P00147,P00150,14,스커트,스커트
P00078,P00089,14,청바지,청바지
P00124,P00127,14,액세서리,액세서리
P00066,P00070,14,니트,니트
P00082,P00083,14,청바지,청바지
P00140,P00142,14,스커트,스커트
P00121,P00135,14,액세서리,액세서리
P00155,P00160,14,셔츠,셔츠
P00121,P00130,14,액세서리,액세서리
P00086,P00090,13,청바지,청바지
P00116,P00120,13,가방,가방
P00061,P00065,13,니트,니트
P00112,P00114,13,가방,가방
P00003,P00007,13,원피스,원피스
P00101,P00103,13,신발,신발
P00145,P00148,13,스커트,스커트
P00140,P00146,13,스커트,스커트
P00155,P00156,13,셔츠,셔츠
P00153,P00156,13,셔츠,셔츠
P00064,P00073,13,니트,니트
P00095,P00104,13,신발,신발
P00085,P00090,13,청바지,청바지
P00061,P00067,13,니트,니트
P00076,P00085,13,청바지,청바지
P00155,P00162,13,셔츠,셔츠
P00136,P00138,13,스커트,스커트
P00122,P00135,13,액세서리,액세서리
P00068,P00073,13,니트,니트
P00155,P00163,13,셔츠,셔츠
P00160,P00161,13,셔츠,셔츠
P00158,P00160,13,셔츠,셔츠
P00156,P00161,13,셔츠,셔츠
P00079,P00080,13,청바지,청바지
P00110,P00111,13,가방,가방
P00064,P00067,13,니트,니트
P00067,P00072,13,니트,니트
P00072,P00075,13,니트,니트
P00093,P00101,13,신발,신발
P00126,P00128,13,액세서리,액세서리
P00031,P00041,13,코트,코트
P00152,P00159,13,셔츠,셔츠
P00084,P00089,13,청바지,청바지
P00144,P00148,13,스커트,스커트
P00100,P00101,13,신발,신발
P00152,P00153,13,셔츠,셔츠
P00151,P00153,13,셔츠,셔츠
P00077,P00080,13,청바지,청바지
P00098,P00101,13,신발,신발
P00076,P00081,13,청바지,청바지
P00142,P00143,13,스커트,스커트
P00077,P00081,13,청바지,청바지
P00081,P00084,13,청바지,청바지
P00061,P00072,13,니트,니트
P00092,P00103,13,신발,신발
P00115,P00117,13,가방,가방
P00114,P00119,13,가방,가방
P00161,P00165,13,셔츠,셔츠
P00011,P00014,13,원피스,원피스
P00141,P00148,13,스커트,스커트
P00125,P00126,13,액세서리,액세서리
P00082,P00088,13,청바지,청바지
P00006,P00011,13,원피스,원피스
P00108,P00109,13,가방,가방
P00110,P00114,13,가방,가방
P00153,P00165,13,셔츠,셔츠
P00130,P00134,13,액세서리,액세서리
P00113,P00114,13,가방,가방
P00084,P00085,13,청바지,청바지
P00152,P00160,13,셔츠,셔츠
P00142,P00149,13,스커트,스커트
P00129,P00134,13,액세서리,액세서리
P00152,P00164,13,셔츠,셔츠
P00116,P00117,13,가방,가방
P00110,P00112,13,가방,가방
P00065,P00072,13,니트,니트
P00136,P00148,13,스커트,스커트
P00144,P00150,13,스커트,스커트
P00112,P00113,13,가방,가방
P00113,P00115,13,가방,가방
P00156,P00159,13,셔츠,셔츠
P00094,P00105,13,신발,신발
P00142,P00147,13,스커트,스커트
P00085,P00089,13,청바지,청바지
P00115,P00120,13,가방,가방
P00078,P00086,13,청바지,청바지
P00136,P00145,13,스커트,스커트
P00154,P00155,13,셔츠,셔츠
P00121,P00129,13,액세서리,액세서리
P00083,P00085,12,청바지,청바지
P00073,P00074,12,니트,니트
P00123,P00125,12,액세서리,액세서리
P00121,P00132,12,액세서리,액세서리
P00123,P00135,12,액세서리,액세서리
P00107,P00120,12,가방,가방
P00152,P00161,12,셔츠,셔츠
P00110,P00119,12,가방,가방
P00138,P00148,12,스커트,스커트
P00126,P00134,12,액세서리,액세서리
P00144,P00147,12,스커트,스커트
P00155,P00157,12,셔츠,셔츠
P00092,P00101,12,신발,신발
P00153,P00160,12,셔츠,셔츠
P00141,P00149,12,스커트,스커트
P00076,P00080,12,청바지,청바지
P00137,P00144,12,스커트,스커트
P00076,P00082,12,청바지,청바지
P00136,P00140,12,스커트,스커트
P00098,P00100,12,신발,신발
P00078,P00085,12,청바지,청바지
P00091,P00095,12,신발,신발
P00123,P00128,12,액세서리,액세서리
P00095,P00101,12,신발,신발
P00152,P00165,12,셔츠,셔츠
P00109,P00116,12,가방,가방
P00109,P00113,12,가방,가방
P00118,P00119,12,가방,가방
P00079,P00084,12,청바지,청바지
P00154,P00161,12,셔츠,셔츠
P00079,P00088,12,청바지,청바지
P00064,P00070,12,니트,니트
P00077,P00084,12,청바지,청바지
P00101,P00105,12,신발,신발
P00112,P00118,12,가방,가방
P00107,P00118,12,가방,가방
P00108,P00115,12,가방,가방
P00084,P00087,12,청바지,청바지
P00094,P00098,12,신발,신발
P00093,P00095,12,신발,신발
P00126,P00135,12,액세서리,액세서리
P00111,P00117,12,가방,가방
P00061,P00074,12,니트,니트
P00139,P00147,12,스커트,스커트
P00093,P00103,12,신발,신발
P00160,P00165,12,셔츠,셔츠
P00007,P00009,12,원피스,원피스
P00121,P00127,12,액세서리,액세서리
P00036,P00045,12,코트,코트
P00084,P00088,12,청바지,청바지
P00083,P00084,12,청바지,청바지
P00123,P00127,12,액세서리,액세서리
P00062,P00070,12,니트,니트
P00079,P00083,12,청바지,청바지
P00092,P00093,12,신발,신발
P00086,P00089,12,청바지,청바지
P00091,P00101,12,신발,신발
P00080,P00083,12,청바지,청바지
P00125,P00134,12,액세서리,액세서리
P00121,P00122,12,액세서리,액세서리
P00066,P00071,12,니트,니트
P00121,P00134,12,액세서리,액세서리
P00115,P00118,12,가방,가방
P00103,P00104,12,신발,신발
P00146,P00148,12,스커트,스커트
P00091,P00103,12,신발,신발
P00146,P00147,12,스커트,스커트
P00129,P00132,12,액세서리,액세서리
P00064,P00068,12,니트,니트
P00146,P00149,12,스커트,스커트
P00161,P00164,12,셔츠,셔츠
P00062,P00068,12,니트,니트
P00096,P00101,12,신발,신발
P00131,P00133,11,액세서리,액세서리
P00158,P00162,11,셔츠,셔츠
P00137,P00148,11,스커트,스커트
P00108,P00110,11,가방,가방
P00114,P00116,11,가방,가방
P00129,P00130,11,액세서리,액세서리
P00077,P00082,11,청바지,청바지
P00080,P00087,11,청바지,청바지
P00077,P00087,11,청바지,청바지
P00128,P00129,11,액세서리,액세서리
P00076,P00088,11,청바지,청바지
P00068,P00069,11,니트,니트
P00031,P00036,11,코트,코트
P00111,P00112,11,가방,가방
P00070,P00075,11,니트,니트
P00079,P00082,11,청바지,청바지
P00126,P00129,11,액세서리,액세서리
P00035,P00040,11,코트,코트
P00039,P00041,11,코트,코트
P00064,P00066,11,니트,니트
P00052,P00057,11,가디건,가디건
P00147,P00149,11,스커트,스커트
P00108,P00120,11,가방,가방
P00139,P00141,11,스커트,스커트
P00122,P00126,11,액세서리,액세서리
P00139,P00142,11,스커트,스커트
P00062,P00066,11,니트,니트
P00108,P00116,11,가방,가방
P00110,P00120,11,가방,가방
P00007,P00010,11,원피스,원피스
P00107,P00119,11,가방,가방
P00122,P00132,11,액세서리,액세서리
P00148,P00149,11,스커트,스커트
P00080,P00089,11,청바지,청바지
P00098,P00103,11,신발,신발
P00065,P00073,11,니트,니트
P00136,P00146,11,스커트,스커트
P00161,P00163,11,셔츠,셔츠
P00079,P00085,11,청바지,청바지
P00094,P00103,11,신발,신발
P00008,P00014,11,원피스,원피스
P00106,P00112,11,가방,가방
P00148,P00150,11,스커트,스커트
P00140,P00144,11,스커트,스커트
P00137,P00140,11,스커트,스커트
P00158,P00161,11,셔츠,셔츠
P00156,P00158,11,셔츠,셔츠
P00097,P00103,11,신발,신발
P00079,P00087,11,청바지,청바지
P00102,P00103,11,신발,신발
P00110,P00118,11,가방,가방
P00072,P00073,11,니트,니트
P00127,P00129,11,액세서리,액세서리
P00155,P00159,11,셔츠,셔츠
P00108,P00119,11,가방,가방
P00154,P00159,11,셔츠,셔츠
P00127,P00130,11,액세서리,액세서리
P00107,P00116,11,가방,가방
P00108,P00114,11,가방,가방
P00001,P00004,11,원피스,원피스
P00138,P00144,11,스커트,스커트
P00063,P00067,11,니트,니트
P00138,P00139,11,스커트,스커트
P00122,P00130,11,액세서리,액세서리
P00153,P00161,11,셔츠,셔츠
P00087,P00090,11,청바지,청바지
P00127,P00128,11,액세서리,액세서리
P00066,P00068,11,니트,니트
P00114,P00118,11,가방,가방
P00107,P00114,11,가방,가방
P00140,P00143,11,스커트,스커트
P00091,P00100,11,신발,신발
P00145,P00150,11,스커트,스커트
P00086,P00088,11,청바지,청바지
P00095,P00102,11,신발,신발
P00108,P00111,11,가방,가방
P00062,P00073,11,니트,니트
P00062,P00072,11,니트,니트
P00064,P00074,11,니트,니트
P00001,P00003,11,원피스,원피스
P00100,P00104,11,신발,신발
P00057,P00060,10,가디건,가디건
P00096,P00105,10,신발,신발
P00062,P00075,10,니트,니트
P00057,P00059,10,가디건,가디건
P00124,P00135,10,액세서리,액세서리
P00146,P00150,10,스커트,스커트
P00158,P00163,10,셔츠,셔츠
P00160,P00163,10,셔츠,셔츠
P00062,P00067,10,니트,니트
P00155,P00158,10,셔츠,셔츠
P00124,P00128,10,액세서리,액세서리
P00082,P00086,10,청바지,청바지
P00141,P00146,10,스커트,스커트
P00154,P00165,10,셔츠,셔츠
P00125,P00127,10,액세서리,액세서리
P00132,P00135,10,액세서리,액세서리
P00042,P00044,10,코트,코트
P00074,P00075,10,니트,니트
P00038,P00045,10,코트,코트
P00123,P00133,10,액세서리,액세서리
P00144,P00149,10,스커트,스커트
P00136,P00137,10,스커트,스커트
P00019,P00026,10,아우터,아우터
P00062,P00069,10,니트,니트
P00096,P00097,10,신발,신발
P00077,P00083,10,청바지,청바지
P00063,P00073,10,니트,니트
P00124,P00129,10,액세서리,액세서리
P00142,P00144,10,스커트,스커트
P00108,P00112,10,가방,가방
P00107,P00108,10,가방,가방
P00143,P00146,10,스커트,스커트
P00092,P00100,10,신발,신발
P00095,P00100,10,신발,신발
P00108,P00113,10,가방,가방
P00089,P00090,10,청바지,청바지
P00131,P00134,10,액세서리,액세서리
P00163,P00164,10,셔츠,셔츠
P00109,P00110,10,가방,가방
P00138,P00149,10,스커트,스커트
P00082,P00089,10,청바지,청바지
P00001,P00014,10,원피스,원피스
P00001,P00015,10,원피스,원피스
P00152,P00157,10,셔츠,셔츠
P00034,P00039,10,코트,코트
P00141,P00143,10,스커트,스커트
P00154,P00163,10,셔츠,셔츠
P00142,P00145,10,스커트,스커트
P00064,P00075,10,니트,니트
P00069,P00073,10,니트,니트
P00094,P00102,10,신발,신발
P00137,P00145,10,스커트,스커트
P00140,P00149,10,스커트,스커트
P00162,P00164,10,셔츠,셔츠
P00110,P00117,10,가방,가방
P00066,P00067,10,니트,니트
P00127,P00131,10,액세서리,액세서리
P00032,P00045,10,코트,코트
P00160,P00164,10,셔츠,셔츠
P00034,P00044,10,코트,코트
P00076,P00089,10,청바지,청바지
P00104,P00105,10,신발,신발
P00154,P00156,10,셔츠,셔츠
P00092,P00102,10,신발,신발
P00080,P00084,10,청바지,청바지
P00123,P00129,10,액세서리,액세서리
P00121,P00131,10,액세서리,액세서리
P00137,P00143,10,스커트,스커트
P00078,P00082,10,청바지,청바지
P00114,P00115,10,가방,가방
P00095,P00099,10,신발,신발
P00156,P00157,10,셔츠,셔츠
P00153,P00163,10,셔츠,셔츠
P00124,P00134,10,액세서리,액세서리
P00126,P00132,10,액세서리,액세서리
P00132,P00134,10,액세서리,액세서리
P00078,P00088,10,청바지,청바지
P00124,P00132,10,액세서리,액세서리
P00116,P00118,10,가방,가방
P00138,P00140,10,스커트,스커트
P00125,P00128,10,액세서리,액세서리
P00125,P00131,10,액세서리,액세서리
P00066,P00069,10,니트,니트
P00070,P00072,10,니트,니트
P00096,P00103,10,신발,신발
P00050,P00052,10,가디건,가디건
P00137,P00141,10,스커트,스커트
P00141,P00147,10,스커트,스커트
P00110,P00116,10,가방,가방
P00139,P00150,10,스커트,스커트
P00152,P00155,10,셔츠,셔츠
P00064,P00072,10,니트,니트
P00068,P00072,10,니트,니트
P00049,P00052,10,가디건,가디건
P00067,P00069,9,니트,니트
P00129,P00133,9,액세서리,액세서리
P00033,P00040,9,코트,코트
P00032,P00041,9,코트,코트
P00040,P00041,9,코트,코트
P00076,P00087,9,청바지,청바지
P00050,P00059,9,가디건,가디건
P00062,P00074,9,니트,니트
P00155,P00165,9,셔츠,셔츠
P00063,P00066,9,니트,니트
P00031,P00040,9,코트,코트
P00158,P00164,9,셔츠,셔츠
P00097,P00102,9,신발,신발
P00097,P00104,9,신발,신발
P00081,P00087,9,청바지,청바지
P00102,P00105,9,신발,신발
P00036,P00041,9,코트,코트
P00121,P00125,9,액세서리,액세서리
P00083,P00087,9,청바지,청바지
P00036,P00039,9,코트,코트
P00046,P00050,9,가디건,가디건
P00049,P00060,9,가디건,가디건
P00082,P00085,9,청바지,청바지
P00012,P00014,9,원피스,원피스
P00143,P00149,9,스커트,스커트
P00127,P00134,9,액세서리,액세서리
P00093,P00097,9,신발,신발
P00109,P00114,9,가방,가방
P00059,P00060,9,가디건,가디건
P00130,P00132,9,액세서리,액세서리
P00106,P00109,9,가방,가방
P00122,P00134,9,액세서리,액세서리
P00084,P00090,9,청바지,청바지
P00153,P00162,9,셔츠,셔츠
P00097,P00100,9,신발,신발
P00066,P00073,9,니트,니트
P00081,P00088,9,청바지,청바지
P00151,P00160,9,셔츠,셔츠
P00122,P00127,9,액세서리,액세서리
P00143,P00148,9,스커트,스커트
P00130,P00135,9,액세서리,액세서리
P00049,P00056,9,가디건,가디건
P00081,P00089,9,청바지,청바지
P00094,P00104,9,신발,신발
P00095,P00098,9,신발,신발
P00034,P00038,9,코트,코트
P00096,P00100,9,신발,신발
P00061,P00075,9,니트,니트
P00144,P00145,9,스커트,스커트
P00143,P00144,9,스커트,스커트
P00130,P00133,9,액세서리,액세서리
P00098,P00102,9,신발,신발
P00117,P00119,9,가방,가방
P00052,P00055,9,가디건,가디건
P00159,P00162,9,셔츠,셔츠
P00154,P00158,9,셔츠,셔츠
P00127,P00135,9,액세서리,액세서리
P00049,P00053,9,가디건,가디건
P00103,P00105,9,신발,신발
P00097,P00105,9,신발,신발
P00094,P00101,9,신발,신발
P00043,P00044,9,코트,코트
P00121,P00133,9,액세서리,액세서리
P00062,P00063,9,니트,니트
P00085,P00088,9,청바지,청바지
P00154,P00164,9,셔츠,셔츠
P00153,P00164,9,셔츠,셔츠
P00151,P00155,9,셔츠,셔츠
P00042,P00043,9,코트,코트
P00037,P00041,9,코트,코트
P00098,P00105,9,신발,신발
P00123,P00132,9,액세서리,액세서리
P00123,P00134,9,액세서리,액세서리
P00046,P00055,9,가디건,가디건
P00034,P00036,9,코트,코트
P00034,P00041,9,코트,코트
P00108,P00118,9,가방,가방
P00092,P00105,9,신발,신발
P00066,P00075,9,니트,니트
P00078,P00080,9,청바지,청바지
P00061,P00062,9,니트,니트
P00094,P00100,9,신발,신발
P00109,P00119,9,가방,가방
P00131,P00132,9,액세서리,액세서리
P00130,P00131,9,액세서리,액세서리
P00083,P00090,8,청바지,청바지
P00054,P00060,8,가디건,가디건
P00033,P00036,8,코트,코트
P00123,P00124,8,액세서리,액세서리
P00126,P00127,8,액세서리,액세서리
P00127,P00132,8,액세서리,액세서리
P00041,P00042,8,코트,코트
P00139,P00140,8,스커트,스커트
P00038,P00041,8,코트,코트
P00155,P00164,8,셔츠,셔츠
P00123,P00126,8,액세서리,액세서리
P00046,P00052,8,가디건,가디건
P00048,P00057,8,가디건,가디건
P00139,P00144,8,스커트,스커트
P00038,P00043,8,코트,코트
P00152,P00158,8,셔츠,셔츠
P00157,P00158,8,셔츠,셔츠
P00034,P00040,8,코트,코트
P00091,P00094,8,신발,신발
P00138,P00143,8,스커트,스커트
P00036,P00042,8,코트,코트
P00036,P00043,8,코트,코트
P00142,P00148,8,스커트,스커트
P00091,P00102,8,신발,신발
P00035,P00041,8,코트,코트
P00050,P00057,8,가디건,가디건
P00023,P00028,8,아우터,아우터
P00139,P00148,8,스커트,스커트
P00041,P00043,8,코트,코트
P00047,P00057,8,가디건,가디건
P00092,P00104,8,신발,신발
P00031,P00034,8,코트,코트
P00036,P00037,8,코트,코트
P00081,P00082,8,청바지,청바지
P00096,P00104,8,신발,신발
P00066,P00074,8,니트,니트
P00033,P00042,8,코트,코트
P00046,P00053,8,가디건,가디건
P00125,P00133,8,액세서리,액세서리
P00125,P00129,8,액세서리,액세서리
P00137,P00146,8,스커트,스커트
P00094,P00097,8,신발,신발
P00153,P00159,8,셔츠,셔츠
P00158,P00159,8,셔츠,셔츠
P00102,P00104,8,신발,신발
P00099,P00101,8,신발,신발
P00128,P00132,8,액세서리,액세서리
P00039,P00042,8,코트,코트
P00107,P00117,8,가방,가방
P00127,P00133,8,액세서리,액세서리
P00108,P00117,8,가방,가방
P00158,P00165,8,셔츠,셔츠
P00031,P00039,8,코트,코트
P00153,P00154,8,셔츠,셔츠
P00037,P00039,8,코트,코트
P00136,P00144,8,스커트,스커트
P00138,P00145,8,스커트,스커트
P00091,P00096,8,신발,신발
P00093,P00100,8,신발,신발
P00081,P00085,8,청바지,청바지
P00050,P00053,8,가디건,가디건
P00066,P00072,8,니트,니트
P00091,P00105,8,신발,신발
P00159,P00163,8,셔츠,셔츠
P00128,P00130,8,액세서리,액세서리
P00121,P00128,8,액세서리,액세서리
P00093,P00105,8,신발,신발
P00082,P00090,8,청바지,청바지
P00159,P00161,8,셔츠,셔츠
