customerId,totalAmount12m,salesGrowthPct,revenue_2025_07,revenue_2025_08,revenue_2025_09,revenue_2025_10,revenue_2025_11,revenue_2025_12,revenue_2026_01,revenue_2026_02,revenue_2026_03,revenue_2026_04,revenue_2026_05,revenue_2026_06
CUST00053,21000,-100.0,3000,4000,3000,3000,2000,2000,2000,2000,0,0,0,0
CUST00054,620000,-35.2,54000,60000,51000,56000,53000,56000,49000,62000,65000,54000,60000,0
CUST00055,65000,-100.0,8000,8000,9000,9000,7000,7000,8000,9000,0,0,0,0
CUST00056,3000,0.0,1000,1000,1000,0,0,0,0,0,0,0,0,0
CUST00057,809000,-9.4,64000,86000,64000,73000,54000,62000,69000,76000,68000,60000,66000,67000
CUST00058,1364000,-1.5,91000,93000,97000,99000,93000,121000,107000,124000,157000,143000,123000,116000
CUST00059,11546000,14.7,824000,1032000,831000,833000,872000,1007000,959000,814000,1090000,966000,1136000,1182000
CUST00060,8797000,12.9,300000,401000,461000,507000,585000,707000,777000,662000,1302000,720000,1049000,1326000
CUST00061,135000,-63.4,11000,12000,17000,13000,12000,14000,13000,16000,12000,15000,0,0
CUST00062,79000,-29.2,5000,6000,6000,6000,7000,8000,8000,7000,9000,7000,10000,0
CUST00063,358000,-68.6,33000,32000,37000,26000,33000,38000,37000,43000,41000,38000,0,0
CUST00064,33000,-100.0,6000,4000,4000,4000,5000,5000,5000,0,0,0,0,0
CUST00065,1030000,4.0,87000,74000,93000,99000,81000,86000,73000,86000,91000,84000,98000,78000
CUST00066,594000,-34.7,45000,43000,47000,53000,42000,73000,68000,58000,50000,49000,66000,0
CUST00067,486000,-24.6,41000,48000,46000,37000,53000,47000,40000,48000,34000,43000,49000,0
CUST00068,95000,21.7,8000,7000,6000,9000,7000,7000,7000,9000,7000,9000,9000,10000
CUST00069,2386000,24.6,135000,157000,140000,184000,183000,188000,206000,244000,173000,272000,228000,276000
CUST00070,193000,-63.3,20000,18000,19000,18000,17000,19000,24000,16000,20000,22000,0,0
CUST00071,210000,14.3,16000,16000,17000,14000,27000,15000,17000,16000,16000,20000,16000,20000
CUST00072,1129000,-16.5,86000,100000,85000,101000,116000,85000,91000,118000,94000,80000,86000,87000
CUST00073,22000,0.0,5000,4000,5000,4000,4000,0,0,0,0,0,0,0
CUST00074,186000,-32.1,14000,18000,16000,11000,17000,16000,25000,17000,14000,20000,18000,0
CUST00075,1856000,14.7,138000,131000,167000,121000,158000,175000,137000,146000,167000,181000,155000,180000
CUST00076,1892000,-9.2,204000,144000,121000,133000,115000,156000,151000,174000,209000,138000,184000,163000
CUST00077,1650000,-48.0,106000,166000,103000,168000,146000,128000,150000,211000,187000,130000,155000,0
CUST00078,221000,-70.5,21000,25000,27000,24000,22000,23000,21000,17000,23000,18000,0,0
CUST00079,541000,-35.4,41000,55000,39000,36000,54000,56000,51000,55000,52000,49000,53000,0
CUST00080,7000,-100.0,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0
CUST00081,643000,-18.2,52000,60000,56000,74000,51000,50000,48000,58000,59000,72000,63000,0
CUST00082,445000,-42.3,37000,48000,32000,32000,34000,38000,49000,44000,49000,43000,39000,0
CUST00083,45000,-100.0,5000,7000,5000,6000,4000,6000,4000,4000,4000,0,0,0
CUST00084,318000,-68.2,34000,34000,30000,30000,34000,40000,31000,31000,26000,28000,0,0
CUST00085,5937000,21.7,369000,437000,429000,442000,533000,475000,443000,493000,531000,545000,594000,646000
CUST00086,1695000,64.3,80000,85000,111000,86000,98000,146000,118000,128000,166000,198000,267000,212000
CUST00087,474000,-100.0,68000,52000,53000,49000,52000,47000,55000,44000,54000,0,0,0
CUST00088,604000,-30.7,48000,51000,54000,54000,64000,79000,56000,50000,44000,50000,54000,0
CUST00089,248000,-26.5,20000,19000,25000,20000,23000,23000,25000,20000,23000,26000,24000,0
CUST00090,158000,-42.2,15000,15000,17000,18000,11000,11000,15000,16000,14000,12000,14000,0
CUST00091,71000,-35.0,6000,5000,6000,7000,8000,6000,7000,7000,6000,7000,6000,0
CUST00092,242000,-17.5,22000,22000,19000,19000,23000,22000,19000,25000,19000,26000,26000,0
CUST00093,518000,-39.9,62000,49000,48000,42000,38000,42000,45000,57000,46000,46000,43000,0
CUST00094,386000,-70.6,34000,45000,35000,39000,32000,38000,40000,48000,38000,37000,0,0
CUST00095,42000,0.0,3000,3000,3000,3000,3000,3000,4000,3000,5000,4000,4000,4000
CUST00096,570000,-45.0,66000,61000,54000,50000,51000,57000,44000,52000,53000,33000,49000,0
CUST00097,156000,-50.0,16000,15000,16000,19000,20000,13000,13000,13000,12000,19000,0,0
CUST00098,9732000,20.5,368000,503000,495000,586000,705000,710000,885000,786000,1215000,1060000,1138000,1281000
CUST00099,16198000,39.3,548000,728000,763000,844000,1034000,1429000,1355000,1260000,1920000,2171000,1763000,2383000
CUST00100,164000,-100.0,22000,23000,19000,18000,24000,19000,16000,23000,0,0,0,0
CUST00101,14000,0.0,3000,2000,3000,2000,2000,2000,0,0,0,0,0,0
CUST00102,645000,-36.9,65000,60000,54000,74000,84000,52000,49000,58000,50000,49000,50000,0
CUST00103,87000,-44.0,8000,9000,8000,8000,8000,7000,8000,10000,7000,7000,7000,0
CUST00104,48000,-100.0,6000,7000,8000,5000,7000,5000,6000,4000,0,0,0,0
CUST00105,11000,0.0,3000,3000,2000,2000,1000,0,0,0,0,0,0,0
CUST00106,104000,-100.0,16000,16000,18000,15000,14000,16000,9000,0,0,0,0,0
CUST00107,2589000,-28.9,215000,222000,190000,179000,195000,231000,253000,300000,240000,282000,282000,0
CUST00108,743000,-36.0,62000,61000,68000,64000,68000,69000,81000,58000,75000,79000,58000,0
CUST00109,6785000,1.0,471000,372000,394000,440000,566000,521000,613000,715000,672000,690000,622000,709000
CUST00110,229000,0.0,27000,39000,45000,46000,40000,32000,0,0,0,0,0,0
CUST00111,1559000,15.0,143000,83000,113000,129000,159000,130000,143000,109000,121000,131000,144000,154000
CUST00112,143000,-22.5,10000,12000,12000,10000,14000,14000,10000,15000,15000,14000,17000,0
CUST00113,623000,22.3,64000,59000,53000,50000,54000,54000,40000,48000,42000,52000,49000,58000
CUST00114,258000,1.4,18000,15000,18000,19000,23000,20000,22000,23000,27000,27000,21000,25000
CUST00115,932000,-41.0,77000,70000,105000,90000,81000,94000,89000,101000,71000,75000,79000,0
CUST00116,7000,-100.0,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0
CUST00117,28000,0.0,8000,8000,6000,6000,0,0,0,0,0,0,0,0
CUST00118,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
CUST00119,209000,10.0,16000,21000,15000,15000,21000,16000,22000,12000,16000,21000,20000,14000
CUST00120,1167000,-32.6,73000,84000,128000,107000,119000,75000,121000,106000,120000,109000,125000,0
CUST00121,475000,-43.8,44000,58000,50000,42000,41000,37000,39000,46000,45000,42000,31000,0
CUST00122,271000,-31.4,18000,18000,22000,23000,23000,22000,32000,23000,31000,28000,31000,0
CUST00123,2278000,11.7,99000,153000,121000,138000,194000,184000,233000,210000,213000,191000,253000,289000
CUST00124,25000,-100.0,4000,3000,3000,3000,3000,2000,3000,2000,2000,0,0,0
CUST00125,1459000,-14.2,131000,86000,117000,111000,109000,106000,132000,119000,179000,132000,138000,99000
CUST00126,654000,-19.1,54000,44000,37000,49000,47000,54000,68000,79000,57000,92000,73000,0
CUST00127,424000,-27.7,48000,44000,25000,43000,33000,57000,47000,31000,23000,35000,38000,0
CUST00128,2328000,21.6,172000,213000,183000,154000,201000,257000,129000,218000,171000,203000,243000,184000
CUST00129,3706000,24.6,221000,153000,256000,231000,354000,252000,329000,327000,341000,346000,466000,430000
CUST00130,2612000,-16.6,165000,240000,173000,243000,179000,297000,229000,254000,234000,275000,323000,0
CUST00131,2109000,54.4,176000,139000,162000,178000,109000,162000,165000,133000,167000,277000,173000,268000
CUST00132,132000,0.0,24000,33000,30000,23000,22000,0,0,0,0,0,0,0
CUST00133,430000,-76.2,41000,52000,34000,45000,37000,44000,41000,48000,54000,34000,0,0
CUST00134,623000,-33.9,62000,37000,53000,73000,57000,52000,62000,52000,60000,50000,65000,0
CUST00135,276000,-26.2,28000,26000,22000,21000,21000,19000,25000,28000,27000,33000,26000,0
CUST00136,8494000,4.4,627000,479000,559000,533000,733000,474000,751000,701000,1038000,803000,864000,932000
CUST00137,72000,0.0,11000,14000,13000,11000,10000,13000,0,0,0,0,0,0
CUST00138,829000,-37.0,87000,81000,72000,71000,78000,70000,62000,89000,76000,71000,72000,0
CUST00139,76000,0.0,12000,13000,18000,10000,14000,9000,0,0,0,0,0,0
CUST00140,4802000,-5.2,307000,358000,378000,324000,349000,396000,437000,532000,412000,452000,368000,489000
CUST00141,283000,-59.8,27000,23000,26000,30000,25000,23000,30000,38000,24000,37000,0,0
CUST00142,132000,-30.0,12000,8000,11000,11000,12000,10000,15000,11000,14000,15000,13000,0
CUST00143,42000,-11.1,4000,5000,4000,4000,4000,4000,4000,2000,3000,3000,3000,2000
CUST00144,159000,-63.8,11000,15000,18000,13000,17000,21000,14000,17000,16000,17000,0,0
CUST00145,705000,-8.0,56000,68000,46000,66000,60000,50000,63000,66000,58000,73000,99000,0
CUST00146,202000,-22.0,13000,18000,17000,14000,19000,16000,20000,18000,21000,15000,31000,0
CUST00147,424000,24.8,32000,30000,25000,33000,33000,35000,30000,34000,41000,35000,42000,54000
CUST00148,1235000,9.4,89000,84000,88000,102000,95000,107000,113000,117000,90000,100000,153000,97000
CUST00149,241000,-67.4,19000,23000,21000,19000,22000,23000,31000,24000,31000,28000,0,0
CUST00150,2680000,4.5,206000,206000,166000,186000,237000,209000,229000,212000,278000,227000,249000,275000
CUST00151,6000,0.0,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0
CUST00152,19000,-100.0,3000,3000,2000,2000,2000,2000,1000,2000,2000,0,0,0
CUST00153,5624000,-17.1,402000,297000,385000,367000,326000,549000,471000,629000,703000,385000,557000,553000
CUST00154,413000,-43.8,36000,28000,25000,31000,39000,40000,42000,54000,41000,32000,45000,0
CUST00155,4492000,19.5,301000,249000,297000,304000,292000,325000,371000,430000,440000,525000,466000,492000
CUST00156,359000,-29.0,29000,35000,37000,40000,32000,27000,33000,33000,27000,31000,35000,0
CUST00157,275000,-31.6,18000,22000,26000,20000,26000,30000,22000,30000,27000,25000,29000,0
CUST00158,2299000,4.6,220000,205000,177000,172000,155000,161000,205000,180000,206000,215000,136000,267000
CUST00159,100000,0.0,17000,20000,15000,16000,15000,17000,0,0,0,0,0,0
CUST00160,289000,-1.6,26000,24000,20000,29000,38000,27000,25000,19000,19000,24000,20000,18000
CUST00161,14488000,23.1,559000,623000,830000,843000,1086000,1352000,1270000,1387000,1465000,1631000,1913000,1529000
CUST00162,46000,0.0,9000,7000,8000,8000,9000,5000,0,0,0,0,0,0
CUST00163,388000,-70.1,43000,42000,36000,39000,34000,42000,45000,33000,39000,35000,0,0
CUST00164,6325000,6.7,589000,460000,504000,381000,530000,587000,435000,495000,654000,615000,430000,645000
CUST00165,1213000,6.3,88000,97000,118000,83000,86000,91000,126000,91000,98000,113000,110000,112000
CUST00166,477000,-65.6,50000,40000,48000,46000,49000,41000,50000,48000,53000,52000,0,0
CUST00167,338000,-48.9,29000,32000,27000,41000,38000,32000,31000,31000,30000,24000,23000,0
CUST00168,23000,0.0,5000,5000,4000,5000,4000,0,0,0,0,0,0,0
CUST00169,792000,-8.7,57000,50000,73000,70000,69000,75000,77000,71000,60000,100000,90000,0
CUST00170,15000,0.0,3000,3000,3000,2000,2000,2000,0,0,0,0,0,0
CUST00171,415000,-64.2,35000,32000,32000,43000,43000,44000,51000,38000,48000,49000,0,0
CUST00172,3647000,-25.8,246000,253000,241000,301000,354000,353000,412000,358000,320000,368000,441000,0
CUST00173,35000,-22.2,3000,3000,3000,3000,4000,3000,3000,3000,3000,3000,4000,0
CUST00174,27000,-71.4,3000,3000,3000,3000,3000,3000,3000,2000,2000,2000,0,0
CUST00175,1616000,16.1,117000,112000,126000,179000,141000,124000,113000,161000,104000,142000,125000,172000
CUST00176,18035000,-9.5,1239000,1313000,1309000,1061000,1594000,1377000,1693000,2000000,1631000,1428000,1568000,1822000
CUST00177,358000,-29.2,27000,26000,18000,30000,34000,30000,34000,40000,39000,33000,47000,0
CUST00178,36000,-37.5,4000,5000,4000,4000,3000,3000,3000,3000,2000,2000,3000,0
CUST00179,64000,0.0,18000,13000,11000,11000,11000,0,0,0,0,0,0,0
CUST00180,30000,-100.0,4000,4000,4000,4000,3000,3000,3000,3000,2000,0,0,0
CUST00181,39000,-100.0,7000,5000,4000,5000,6000,4000,4000,4000,0,0,0,0
CUST00182,165000,-100.0,16000,27000,21000,24000,15000,18000,15000,18000,11000,0,0,0
CUST00183,224000,-66.7,20000,18000,24000,31000,21000,22000,23000,26000,17000,22000,0,0
CUST00184,825000,-43.3,69000,52000,70000,70000,75000,94000,92000,73000,87000,72000,71000,0
CUST00185,164000,-100.0,24000,24000,27000,29000,18000,18000,24000,0,0,0,0,0
CUST00186,420000,-38.9,44000,40000,40000,39000,49000,34000,36000,44000,28000,38000,28000,0
CUST00187,349000,-29.8,23000,33000,33000,23000,46000,31000,27000,29000,38000,30000,36000,0
CUST00188,12285000,36.1,751000,797000,713000,797000,909000,825000,1184000,1009000,980000,1096000,1279000,1945000
CUST00189,218000,-100.0,32000,26000,33000,30000,29000,21000,22000,25000,0,0,0,0
CUST00190,148000,-20.6,16000,17000,12000,17000,12000,13000,12000,13000,9000,15000,12000,0
CUST00191,25000,0.0,5000,4000,4000,4000,4000,4000,0,0,0,0,0,0
CUST00192,473000,-52.1,54000,53000,54000,32000,31000,42000,47000,51000,42000,34000,33000,0
CUST00193,2833000,14.9,146000,147000,205000,185000,191000,197000,247000,218000,355000,269000,339000,334000
CUST00194,93000,-100.0,16000,15000,11000,11000,11000,8000,8000,6000,7000,0,0,0
CUST00195,513000,12.4,39000,64000,40000,37000,35000,41000,43000,37000,41000,53000,47000,36000
CUST00196,630000,-11.3,42000,38000,42000,50000,55000,52000,70000,63000,53000,92000,73000,0
CUST00197,913000,-7.7,81000,83000,73000,95000,85000,71000,83000,71000,67000,77000,65000,62000
CUST00198,20000,0.0,5000,4000,2000,3000,3000,3000,0,0,0,0,0,0
CUST00199,229000,-25.9,22000,27000,24000,22000,20000,20000,18000,19000,17000,19000,21000,0
CUST00200,1103000,-30.1,88000,106000,89000,89000,106000,117000,111000,111000,77000,101000,108000,0
CUST00201,65000,-33.3,8000,8000,9000,5000,5000,5000,5000,5000,5000,5000,5000,0
CUST00202,139000,-100.0,27000,19000,16000,17000,13000,17000,14000,7000,9000,0,0,0
CUST00203,428000,-36.9,45000,40000,36000,34000,34000,40000,41000,33000,48000,42000,35000,0
CUST00204,4879000,58.6,328000,239000,326000,319000,346000,303000,401000,389000,377000,772000,482000,597000
CUST00205,2173000,1.2,162000,150000,244000,128000,136000,178000,230000,157000,197000,174000,218000,199000
CUST00206,497000,-19.7,42000,46000,35000,42000,36000,40000,44000,50000,48000,55000,59000,0
CUST00207,2734000,13.0,215000,191000,163000,184000,167000,227000,248000,267000,230000,294000,247000,301000
CUST00208,479000,19.3,40000,41000,37000,37000,39000,35000,39000,42000,33000,36000,52000,48000
CUST00209,2236000,28.8,150000,111000,130000,153000,141000,151000,196000,192000,224000,259000,290000,239000
CUST00210,915000,-26.5,78000,77000,78000,78000,63000,83000,91000,79000,94000,86000,108000,0
CUST00211,376000,-59.0,31000,31000,38000,41000,32000,38000,36000,37000,44000,48000,0,0
CUST00212,880000,8.3,53000,58000,73000,62000,58000,51000,77000,78000,97000,85000,91000,97000
CUST00213,64000,-26.7,5000,7000,6000,7000,6000,7000,5000,5000,5000,6000,5000,0
CUST00214,120000,-100.0,20000,21000,21000,17000,13000,15000,13000,0,0,0,0,0
CUST00215,7000,-100.0,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0
CUST00216,137000,0.0,36000,29000,37000,35000,0,0,0,0,0,0,0,0
CUST00217,2647000,-2.6,166000,166000,188000,182000,230000,215000,235000,290000,235000,219000,275000,246000
CUST00218,694000,5.7,36000,35000,44000,45000,64000,73000,55000,56000,82000,61000,68000,75000
CUST00219,16000,0.0,4000,4000,3000,5000,0,0,0,0,0,0,0,0
CUST00220,404000,4.7,31000,27000,32000,28000,32000,35000,32000,33000,42000,29000,48000,35000
CUST00221,964000,-30.9,78000,87000,75000,93000,100000,83000,86000,80000,99000,87000,96000,0
CUST00222,2202000,7.9,141000,174000,174000,192000,173000,188000,208000,198000,152000,161000,159000,282000
CUST00223,717000,-26.3,77000,73000,69000,58000,56000,73000,66000,50000,63000,70000,62000,0
CUST00224,68000,-100.0,8000,8000,11000,9000,8000,7000,9000,8000,0,0,0,0
CUST00225,529000,-33.1,44000,43000,47000,43000,36000,64000,43000,48000,60000,53000,48000,0
CUST00226,102000,-100.0,11000,17000,9000,14000,12000,12000,10000,9000,8000,0,0,0
CUST00227,2592000,8.2,185000,241000,170000,188000,207000,210000,239000,202000,227000,225000,209000,289000
CUST00228,293000,-69.9,38000,34000,32000,29000,32000,20000,29000,31000,23000,25000,0,0
CUST00229,500000,-39.0,38000,45000,39000,44000,43000,43000,51000,54000,49000,39000,55000,0
CUST00230,2059000,-1.3,212000,180000,189000,154000,218000,220000,148000,126000,172000,132000,183000,125000
CUST00231,2488000,11.6,158000,110000,137000,213000,168000,212000,245000,202000,257000,256000,243000,287000
CUST00232,38000,-41.7,3000,3000,2000,3000,4000,4000,5000,3000,4000,3000,4000,0
CUST00233,65000,0.0,13000,10000,9000,13000,10000,10000,0,0,0,0,0,0
CUST00234,1296000,30.4,84000,74000,115000,77000,118000,100000,124000,107000,85000,111000,152000,149000
CUST00235,22000,-100.0,3000,3000,4000,3000,2000,3000,2000,2000,0,0,0,0
CUST00236,27000,-100.0,4000,4000,4000,4000,4000,4000,3000,0,0,0,0,0
CUST00237,90000,-33.3,10000,8000,8000,7000,9000,8000,6000,8000,10000,7000,9000,0
CUST00238,73000,-100.0,10000,10000,8000,10000,9000,8000,9000,9000,0,0,0,0
CUST00239,3043000,16.4,115000,158000,213000,206000,171000,250000,244000,275000,373000,309000,365000,364000
CUST00240,2776000,15.7,246000,181000,176000,233000,201000,227000,199000,249000,253000,249000,274000,288000
CUST00241,10000,0.0,2000,2000,2000,1000,1000,2000,0,0,0,0,0,0
CUST00242,22000,-100.0,3000,3000,2000,2000,3000,3000,2000,2000,2000,0,0,0
CUST00243,1025000,-70.4,106000,114000,100000,112000,102000,93000,99000,110000,98000,91000,0,0
CUST00244,900000,-68.3,93000,77000,87000,76000,73000,112000,90000,115000,85000,92000,0,0
CUST00245,111000,0.0,13000,10000,9000,9000,10000,10000,10000,7000,8000,7000,10000,8000
CUST00246,3000,0.0,1000,1000,1000,0,0,0,0,0,0,0,0,0
CUST00247,517000,-38.0,46000,49000,43000,51000,59000,60000,41000,49000,39000,48000,32000,0
CUST00248,215000,-15.7,23000,22000,15000,21000,18000,22000,15000,19000,17000,21000,22000,0
CUST00249,471000,-44.2,33000,50000,44000,40000,38000,51000,46000,46000,46000,36000,41000,0
CUST00250,568000,-42.4,39000,44000,57000,55000,46000,37000,52000,66000,66000,54000,52000,0
CUST00251,792000,3.2,77000,60000,56000,74000,71000,74000,76000,54000,57000,70000,54000,69000
CUST00252,28000,-33.4,3000,4000,3000,3000,3000,2000,2000,2000,2000,2000,2000,0
CUST00253,471000,3.5,43000,39000,37000,33000,48000,41000,40000,32000,41000,44000,32000,41000
CUST00254,570000,-37.0,64000,46000,47000,48000,70000,57000,59000,38000,49000,49000,43000,0
CUST00255,267000,-15.3,22000,21000,20000,22000,25000,24000,18000,26000,28000,19000,20000,22000
CUST00256,24000,-100.0,3000,3000,3000,3000,2000,3000,3000,2000,2000,0,0,0
CUST00257,28000,-100.0,3000,3000,4000,4000,3000,3000,3000,3000,2000,0,0,0
CUST00258,8271000,8.4,440000,450000,616000,558000,599000,612000,630000,784000,983000,914000,740000,945000
CUST00259,14997000,52.5,881000,712000,1039000,927000,1075000,1508000,984000,1387000,1136000,1852000,1536000,1960000
CUST00260,232000,-51.7,28000,22000,24000,24000,23000,25000,16000,19000,23000,28000,0,0
CUST00261,3967000,2.4,194000,237000,267000,253000,281000,310000,347000,440000,411000,271000,409000,547000
CUST00262,8000,-100.0,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0
CUST00263,176000,-48.0,22000,14000,22000,14000,14000,14000,17000,16000,17000,12000,14000,0
CUST00264,5041000,-11.1,318000,325000,381000,395000,334000,509000,430000,611000,430000,376000,450000,482000
CUST00265,20000,0.0,6000,5000,4000,5000,0,0,0,0,0,0,0,0
CUST00266,262000,-73.5,18000,21000,28000,31000,33000,26000,31000,25000,27000,22000,0,0
CUST00267,267000,-36.8,27000,22000,19000,27000,25000,23000,23000,26000,27000,24000,24000,0
CUST00268,468000,-71.2,49000,40000,48000,52000,50000,50000,41000,54000,44000,40000,0,0
CUST00269,1425000,16.2,141000,125000,87000,95000,156000,101000,111000,99000,123000,110000,115000,162000
CUST00270,4205000,33.3,234000,222000,304000,270000,256000,341000,349000,430000,326000,526000,444000,503000
CUST00271,1989000,11.5,161000,123000,139000,174000,184000,123000,166000,174000,173000,182000,188000,202000
CUST00272,1013000,-56.2,112000,99000,91000,72000,106000,103000,112000,96000,91000,62000,69000,0
CUST00273,5398000,22.6,308000,337000,390000,387000,415000,443000,409000,496000,496000,531000,506000,680000
CUST00274,959000,13.6,49000,50000,64000,73000,65000,77000,82000,85000,105000,92000,99000,118000
CUST00275,539000,10.7,33000,43000,49000,48000,46000,44000,44000,44000,43000,56000,48000,41000
CUST00276,450000,-16.7,35000,39000,49000,27000,59000,43000,36000,38000,34000,52000,38000,0
CUST00277,90000,-100.0,10000,10000,12000,11000,11000,9000,9000,9000,9000,0,0,0
CUST00278,272000,-32.4,30000,22000,26000,20000,21000,29000,31000,22000,21000,20000,30000,0
CUST00279,42000,-100.0,5000,5000,8000,6000,6000,6000,6000,0,0,0,0,0
CUST00280,40000,0.0,21000,19000,0,0,0,0,0,0,0,0,0,0
CUST00281,1892000,-8.0,115000,134000,138000,159000,176000,168000,167000,201000,154000,182000,160000,138000
CUST00282,149000,-35.7,13000,18000,14000,10000,12000,13000,12000,14000,16000,10000,17000,0
CUST00283,605000,-38.6,52000,68000,42000,47000,61000,38000,65000,68000,51000,57000,56000,0
CUST00284,692000,-42.3,56000,56000,64000,63000,55000,62000,70000,75000,68000,59000,64000,0
CUST00285,97000,-30.8,8000,11000,9000,9000,7000,9000,9000,8000,9000,9000,9000,0
