productIdA,productIdB,count
P00057,P00059,10
P00124,P00135,10
P00146,P00150,10
P00158,P00163,10
P00160,P00163,10
P00062,P00067,10
P00155,P00158,10
P00124,P00128,10
P00082,P00086,10
P00141,P00146,10
P00154,P00165,10
P00125,P00127,10
P00132,P00135,10
P00042,P00044,10
P00074,P00075,10
P00038,P00045,10
P00123,P00133,10
P00144,P00149,10
P00136,P00137,10
P00019,P00026,10
P00062,P00069,10
P00096,P00097,10
P00077,P00083,10
P00063,P00073,10
P00124,P00129,10
P00142,P00144,10
P00108,P00112,10
P00107,P00108,10
P00143,P00146,10
P00092,P00100,10
P00095,P00100,10
P00108,P00113,10
P00089,P00090,10
P00131,P00134,10
P00163,P00164,10
P00109,P00110,10
P00138,P00149,10
P00082,P00089,10
P00001,P00014,10
P00001,P00015,10
P00152,P00157,10
P00034,P00039,10
P00141,P00143,10
P00154,P00163,10
P00142,P00145,10
P00064,P00075,10
P00069,P00073,10
P00094,P00102,10
P00137,P00145,10
P00140,P00149,10
P00162,P00164,10
P00110,P00117,10
P00066,P00067,10
P00127,P00131,10
P00032,P00045,10
P00160,P00164,10
P00034,P00044,10
P00076,P00089,10
P00104,P00105,10
P00154,P00156,10
P00092,P00102,10
P00080,P00084,10
P00123,P00129,10
P00121,P00131,10
P00137,P00143,10
P00078,P00082,10
P00114,P00115,10
P00095,P00099,10
P00156,P00157,10
P00153,P00163,10
P00124,P00134,10
P00126,P00132,10
P00132,P00134,10
P00078,P00088,10
P00124,P00132,10
P00116,P00118,10
P00138,P00140,10
P00125,P00128,10
P00125,P00131,10
P00066,P00069,10
P00070,P00072,10
P00096,P00103,10
P00050,P00052,10
P00137,P00141,10
P00141,P00147,10
P00110,P00116,10
P00139,P00150,10
P00152,P00155,10
P00064,P00072,10
P00068,P00072,10
P00049,P00052,10
P00067,P00069,9
P00129,P00133,9
P00033,P00040,9
P00032,P00041,9
P00040,P00041,9
P00076,P00087,9
P00050,P00059,9
P00062,P00074,9
P00155,P00165,9
P00063,P00066,9
P00031,P00040,9
P00158,P00164,9
P00097,P00102,9
P00097,P00104,9
P00081,P00087,9
P00102,P00105,9
P00036,P00041,9
P00121,P00125,9
P00083,P00087,9
P00036,P00039,9
P00046,P00050,9
P00049,P00060,9
P00082,P00085,9
P00012,P00014,9
P00143,P00149,9
P00127,P00134,9
P00093,P00097,9
P00109,P00114,9
P00059,P00060,9
P00130,P00132,9
P00106,P00109,9
P00122,P00134,9
P00084,P00090,9
P00153,P00162,9
P00097,P00100,9
P00066,P00073,9
P00081,P00088,9
P00151,P00160,9
P00122,P00127,9
P00143,P00148,9
P00130,P00135,9
P00049,P00056,9
P00081,P00089,9
P00094,P00104,9
P00095,P00098,9
P00034,P00038,9
P00096,P00100,9
P00061,P00075,9
P00144,P00145,9
P00143,P00144,9
P00130,P00133,9
P00098,P00102,9
P00117,P00119,9
P00052,P00055,9
P00159,P00162,9
P00154,P00158,9
P00127,P00135,9
P00049,P00053,9
P00103,P00105,9
P00097,P00105,9
P00094,P00101,9
P00043,P00044,9
P00121,P00133,9
P00062,P00063,9
P00085,P00088,9
P00154,P00164,9
P00153,P00164,9
P00151,P00155,9
P00042,P00043,9
P00037,P00041,9
P00098,P00105,9
P00123,P00132,9
P00123,P00134,9
P00046,P00055,9
P00034,P00036,9
P00034,P00041,9
P00108,P00118,9
P00092,P00105,9
P00066,P00075,9
P00078,P00080,9
P00061,P00062,9
P00094,P00100,9
P00109,P00119,9
P00131,P00132,9
P00130,P00131,9
P00083,P00090,8
P00054,P00060,8
P00033,P00036,8
P00123,P00124,8
P00126,P00127,8
P00127,P00132,8
P00041,P00042,8
P00139,P00140,8
P00038,P00041,8
P00155,P00164,8
P00123,P00126,8
P00046,P00052,8
P00048,P00057,8
P00139,P00144,8
P00038,P00043,8
P00152,P00158,8
P00157,P00158,8
P00034,P00040,8
P00091,P00094,8
P00138,P00143,8
P00036,P00042,8
P00036,P00043,8
P00142,P00148,8
P00091,P00102,8
P00035,P00041,8
P00050,P00057,8
P00023,P00028,8
P00139,P00148,8
P00041,P00043,8
P00047,P00057,8
P00092,P00104,8
P00031,P00034,8
P00036,P00037,8
P00081,P00082,8
P00096,P00104,8
P00066,P00074,8
P00033,P00042,8
P00046,P00053,8
P00125,P00133,8
P00125,P00129,8
P00137,P00146,8
P00094,P00097,8
P00153,P00159,8
P00158,P00159,8
P00102,P00104,8
P00099,P00101,8
P00128,P00132,8
P00039,P00042,8
P00107,P00117,8
P00127,P00133,8
P00108,P00117,8
P00158,P00165,8
P00031,P00039,8
P00153,P00154,8
P00037,P00039,8
P00136,P00144,8
P00138,P00145,8
P00091,P00096,8
P00093,P00100,8
P00081,P00085,8
P00050,P00053,8
P00066,P00072,8
P00091,P00105,8
P00159,P00163,8
P00128,P00130,8
P00121,P00128,8
P00093,P00105,8
P00082,P00090,8
P00159,P00161,8
P00095,P00105,8
P00044,P00045,8
P00162,P00165,8
P00019,P00028,8
P00020,P00022,8
P00125,P00132,8
P00091,P00104,8
P00047,P00050,8
P00031,P00038,8
P00122,P00128,8
P00054,P00055,8
P00054,P00059,8
P00051,P00052,8
P00052,P00053,8
P00126,P00133,8
P00092,P00095,7
P00097,P00099,7
P00087,P00089,7
P00071,P00074,7
P00143,P00145,7
P00128,P00135,7
P00107,P00109,7
P00121,P00126,7
P00046,P00047,7
P00026,P00030,7
P00152,P00154,7
P00132,P00133,7
P00092,P00099,7
P00097,P00098,7
P00020,P00026,7
P00156,P00164,7
P00054,P00058,7
P00049,P00057,7
P00083,P00088,7
P00021,P00030,7
P00098,P00104,7
P00161,P00162,7
P00116,P00119,7
P00016,P00030,7
P00047,P00049,7
P00099,P00102,7
P00157,P00159,7
P00121,P00124,7
P00047,P00048,7
P00096,P00098,7
P00033,P00043,7
P00112,P00117,7
P00038,P00044,7
P00041,P00045,7
P00093,P00102,7
P00164,P00165,7
P00151,P00154,7
P00141,P00145,7
P00038,P00039,7
P00046,P00051,7
P00091,P00093,7
P00094,P00095,7
P00082,P00087,7
P00055,P00057,7
P00052,P00060,7
P00092,P00094,7
P00031,P00042,7
P00035,P00036,7
P00124,P00126,7
P00093,P00099,7
P00091,P00099,7
P00039,P00040,7
P00031,P00035,7
P00047,P00060,7
P00126,P00130,7
P00156,P00163,7
P00128,P00134,7
P00159,P00165,7
P00138,P00147,7
P00095,P00103,7
P00152,P00163,7
P00109,P00118,7
P00139,P00145,7
P00099,P00104,7
P00032,P00040,7
P00151,P00159,7
P00040,P00042,7
P00137,P00139,7
P00068,P00074,7
P00016,P00019,7
P00137,P00149,7
P00031,P00032,7
P00036,P00040,7
P00050,P00060,7
P00055,P00060,7
P00142,P00146,6
P00036,P00044,6
P00037,P00040,6
P00082,P00084,6
P00077,P00088,6
P00124,P00130,6
P00051,P00054,6
P00031,P00037,6
P00133,P00134,6
P00037,P00043,6
P00122,P00125,6
P00016,P00020,6
P00136,P00143,6
P00048,P00058,6
P00133,P00135,6
P00136,P00142,6
P00139,P00146,6
P00046,P00048,6
P00020,P00028,6
P00033,P00039,6
P00039,P00044,6
P00091,P00098,6
P00049,P00054,6
P00124,P00131,6
P00049,P00058,6
P00151,P00165,6
P00017,P00020,6
P00028,P00030,6
P00040,P00044,6
P00053,P00054,6
P00093,P00104,6
P00054,P00056,6
P00151,P00156,6
P00051,P00060,6
P00049,P00055,6
P00113,P00119,6
P00035,P00044,6
P00016,P00026,6
P00100,P00102,6
P00124,P00125,6
P00092,P00098,6
P00019,P00020,6
P00093,P00098,6
P00096,P00102,6
P00151,P00158,6
P00093,P00094,6
P00047,P00056,6
P00151,P00164,6
P00043,P00045,6
P00080,P00082,6
P00137,P00142,6
P00051,P00056,6
P00037,P00045,6
P00022,P00028,6
P00049,P00051,6
P00033,P00041,6
P00053,P00058,6
P00031,P00044,6
P00151,P00157,6
P00046,P00057,6
P00032,P00036,6
P00151,P00152,6
P00031,P00033,6
P00053,P00057,6
P00054,P00057,6
P00081,P00083,6
P00026,P00028,6
P00034,P00045,6
P00032,P00037,6
P00046,P00059,5
P00050,P00054,5
P00046,P00054,5
P00016,P00028,5
P00048,P00049,5
P00016,P00022,5
P00048,P00056,5
P00052,P00058,5
P00151,P00162,5
P00046,P00049,5
P00047,P00051,5
P00055,P00059,5
P00098,P00099,5
P00050,P00055,5
P00028,P00029,5
P00048,P00055,5
P00051,P00053,5
P00020,P00030,5
P00032,P00039,5
P00051,P00055,5
P00032,P00038,5
P00053,P00059,5
P00092,P00096,5
P00037,P00044,5
P00096,P00099,5
P00046,P00060,5
P00034,P00042,5
P00055,P00056,5
P00033,P00035,5
P00052,P00059,5
P00094,P00096,5
P00040,P00045,5
P00093,P00096,5
P00056,P00060,5
P00031,P00043,5
P00047,P00052,5
P00034,P00043,5
P00139,P00143,5
P00037,P00038,5
P00056,P00057,5
P00053,P00056,5
P00038,P00042,5
P00038,P00040,5
P00018,P00026,5
P00162,P00163,5
P00139,P00149,5
P00035,P00045,5
P00032,P00033,5
P00023,P00029,5
P00145,P00146,5
P00089,P00160,5
P00092,P00097,5
P00019,P00023,5
P00172,P00178,5
P00172,P00180,5
P00023,P00026,5
P00039,P00045,5
P00124,P00133,5
P00039,P00043,5
P00035,P00037,5
P00026,P00029,5
P00037,P00042,5
P00049,P00050,5
P00168,P00171,4
P00018,P00030,4
P00048,P00052,4
P00019,P00025,4
P00019,P00022,4
P00136,P00141,4
P00017,P00022,4
P00035,P00042,4
P00151,P00161,4
P00021,P00028,4
P00021,P00024,4
P00137,P00138,4
P00051,P00057,4
P00017,P00019,4
P00091,P00092,4
P00036,P00038,4
P00033,P00045,4
P00048,P00053,4
P00099,P00105,4
P00035,P00038,4
P00089,P00165,4
P00031,P00045,4
P00048,P00060,4
P00099,P00100,4
P00022,P00029,4
P00047,P00059,4
P00058,P00060,4
P00095,P00097,4
P00024,P00028,4
P00032,P00044,4
P00021,P00022,4
P00049,P00059,4
P00046,P00056,4
P00019,P00024,4
P00129,P00135,4
P00016,P00024,4
P00053,P00060,4
P00018,P00028,4
P00035,P00039,4
P00050,P00056,4
P00042,P00045,4
P00051,P00059,4
P00052,P00054,4
P00074,P00084,4
P00056,P00058,4
P00153,P00158,4
P00024,P00030,4
P00057,P00058,4
P00018,P00023,4
P00017,P00025,4
P00169,P00178,4
P00040,P00043,4
P00151,P00163,4
P00033,P00037,4
P00033,P00044,4
P00016,P00021,4
P00056,P00059,4
P00022,P00030,4
P00017,P00026,4
P00052,P00056,4
P00023,P00025,4
P00034,P00037,4
P00081,P00111,3
P00078,P00093,3
P00118,P00162,3
P00089,P00156,3
P00053,P00055,3
P00168,P00169,3
P00089,P00106,3
P00033,P00038,3
P00021,P00026,3
P00167,P00174,3
P00044,P00065,3
P00166,P00174,3
P00016,P00017,3
P00170,P00180,3
P00075,P00145,3
P00089,P00103,3
P00118,P00159,3
P00022,P00025,3
P00017,P00028,3
P00075,P00086,3
P00088,P00098,3
P00015,P00122,3
P00015,P00088,3
P00088,P00100,3
P00088,P00092,3
P00089,P00110,3
P00022,P00026,3
P00166,P00169,3
P00065,P00089,3
P00131,P00163,3
P00136,P00139,3
P00018,P00029,3
P00048,P00050,3
P00073,P00076,3
P00089,P00114,3
P00169,P00170,3
P00048,P00054,3
P00047,P00058,3
P00022,P00023,3
P00025,P00028,3
P00078,P00165,3
P00079,P00095,3
P00081,P00095,3
P00007,P00098,3
P00024,P00029,3
P00095,P00096,3
P00110,P00162,3
P00089,P00157,3
P00002,P00122,3
P00122,P00124,3
P00075,P00089,3
P00091,P00097,3
P00170,P00172,3
P00046,P00058,3
P00013,P00110,3
P00113,P00163,3
P00032,P00042,3
P00075,P00135,3
P00034,P00035,3
P00073,P00147,3
P00020,P00024,3
P00006,P00110,3
P00047,P00053,3
P00081,P00106,3
P00017,P00021,3
P00017,P00030,3
P00013,P00104,3
P00089,P00098,3
P00063,P00087,3
P00055,P00127,3
P00068,P00150,3
P00015,P00120,3
P00074,P00087,3
P00055,P00058,3
P00029,P00030,3
P00047,P00055,3
P00032,P00034,3
P00168,P00172,3
P00035,P00043,3
P00020,P00025,3
P00021,P00025,3
P00018,P00024,3
P00051,P00149,3
P00032,P00035,3
P00111,P00159,3
P00081,P00092,3
P00070,P00087,3
P00094,P00099,3
P00166,P00171,3
P00174,P00180,3
P00039,P00126,3
P00007,P00113,3
P00006,P00106,2
P00086,P00093,2
P00077,P00157,2
P00036,P00126,2
P00010,P00081,2
P00006,P00089,2
P00006,P00081,2
P00077,P00165,2
P00076,P00091,2
P00012,P00113,2
P00107,P00153,2
P00008,P00163,2
P00085,P00165,2
P00054,P00146,2
P00083,P00156,2
P00079,P00156,2
P00045,P00129,2
P00079,P00164,2
P00046,P00061,2
P00074,P00090,2
P00169,P00174,2
P00107,P00151,2
P00013,P00154,2
P00081,P00110,2
P00011,P00137,2
P00081,P00119,2
P00061,P00160,2
P00062,P00158,2
P00011,P00143,2
P00111,P00134,2
P00010,P00110,2
P00078,P00160,2
P00015,P00137,2
P00002,P00080,2
P00037,P00073,2
P00106,P00159,2
P00061,P00159,2
P00100,P00137,2
P00038,P00061,2
P00010,P00108,2
P00067,P00087,2
P00013,P00107,2
P00110,P00163,2
P00010,P00106,2
P00059,P00070,2
P00113,P00162,2
P00063,P00130,2
P00067,P00084,2
P00001,P00101,2
P00074,P00158,2
P00071,P00160,2
P00063,P00160,2
P00063,P00158,2
P00090,P00102,2
P00011,P00100,2
P00107,P00161,2
P00074,P00128,2
P00079,P00102,2
P00061,P00158,2
P00008,P00134,2
P00055,P00145,2
P00060,P00128,2
P00005,P00107,2
P00132,P00156,2
P00132,P00153,2
P00171,P00173,2
P00079,P00092,2
P00072,P00146,2
P00072,P00140,2
P00072,P00138,2
P00090,P00119,2
P00083,P00119,2
P00014,P00164,2
P00051,P00145,2
P00087,P00095,2
P00087,P00093,2
P00069,P00087,2
P00019,P00030,2
P00033,P00034,2
P00100,P00150,2
P00089,P00093,2
P00080,P00172,2
P00070,P00123,2
P00103,P00172,2
P00073,P00131,2
P00007,P00115,2
P00032,P00043,2
P00067,P00150,2
P00063,P00146,2
P00072,P00150,2
P00173,P00176,2
P00076,P00130,2
P00013,P00095,2
P00003,P00136,2
P00091,P00114,2
P00010,P00153,2
P00067,P00147,2
P00064,P00147,2
P00016,P00025,2
P00006,P00117,2
P00019,P00029,2
P00034,P00126,2
P00168,P00178,2
P00102,P00137,2
P00101,P00141,2
P00011,P00102,2
P00061,P00150,2
P00167,P00171,2
P00067,P00143,2
P00064,P00143,2
P00081,P00100,2
P00085,P00129,2
P00102,P00141,2
P00045,P00128,2
P00012,P00098,2
P00088,P00105,2
P00088,P00101,2
P00087,P00105,2
P00087,P00101,2
P00086,P00092,2
P00087,P00092,2
P00088,P00093,2
P00026,P00078,2
P00041,P00128,2
P00039,P00128,2
P00017,P00023,2
P00002,P00137,2
P00065,P00130,2
P00071,P00145,2
P00013,P00068,2
P00143,P00152,2
P00118,P00160,2
P00002,P00088,2
P00023,P00024,2
P00013,P00089,2
P00088,P00095,2
P00020,P00027,2
P00178,P00179,2
P00038,P00129,2
P00042,P00120,2
P00082,P00113,2
P00082,P00110,2
P00125,P00135,2
P00035,P00059,2
P00179,P00180,2
P00172,P00179,2
P00018,P00022,2
P00007,P00083,2
P00178,P00180,2
P00022,P00024,2
P00020,P00023,2
P00086,P00108,2
P00089,P00108,2
P00087,P00115,2
P00166,P00176,2
P00079,P00160,2
P00176,P00179,2
P00167,P00180,2
P00167,P00176,2
P00089,P00164,2
P00042,P00075,2
P00065,P00086,2
P00067,P00136,2
P00002,P00109,2
P00088,P00103,2
P00050,P00123,2
P00061,P00085,2
P00068,P00083,2
P00089,P00152,2
P00080,P00152,2
P00042,P00065,2
P00042,P00063,2
P00045,P00110,2
P00045,P00106,2
P00037,P00074,2
P00037,P00065,2
P00174,P00177,2
P00027,P00028,2
P00065,P00123,2
P00099,P00103,2
P00007,P00045,2
P00048,P00051,2
P00024,P00026,2
P00060,P00133,2
P00060,P00127,2
P00116,P00162,2
P00116,P00159,2
P00086,P00101,2
P00086,P00094,2
P00007,P00110,2
P00082,P00094,2
P00101,P00163,2
P00138,P00155,2
P00032,P00109,2
P00166,P00167,2
P00068,P00149,2
P00168,P00170,2
P00111,P00129,2
P00087,P00094,2
P00002,P00047,2
P00085,P00093,2
P00081,P00099,2
P00081,P00093,2
P00046,P00127,2
P00065,P00085,2
P00009,P00048,2
P00145,P00157,2
P00138,P00157,2
P00138,P00154,2
P00021,P00029,2
P00145,P00154,2
P00012,P00087,2
P00068,P00129,2
P00044,P00063,2
P00041,P00065,2
P00086,P00107,2
P00039,P00115,2
P00043,P00116,2
P00068,P00130,2
P00050,P00051,2
P00101,P00171,2
P00053,P00148,2
P00057,P00130,2
P00171,P00177,2
P00014,P00147,2
P00065,P00147,2
P00008,P00125,2
P00012,P00102,2
P00014,P00115,2
P00076,P00127,2
P00049,P00131,2
P00079,P00101,2
